key_group,atlas_key,status,cross_ref,key_completeness,cell_members,cell_tier_span,cell_games,cell_neg,rank_in_cell,representative,source,cell_id,kit_id,folk_name,corpus,game,tier,canon_tier,negative,flags,lineage,gx,proxy,geo,commit,econ,mob,elem_p,avg_conf,spend_stratum,basin,meta,power_rating,eras,prov,mechanics_status,blocking_mechanics,mech_note
DRMSHI-HLDM-SP-FI-~~,DRMSHI-HLDM-SP-FI-~~,,,12,1,T1,1,0,1,True,canon,HEAVY|LARGE|INST×GAP-P1-03,poe1-ea-ballista,Explosive Arrow Ballista,poe1,poe1,T1,deep,False,,,GAP-P1-03,heavy,large-AOE,instant,totem-cycle,high-while-totems-work,fire,0.75,,,,,3.14-3.19;3.20+,el;kb,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,Ballista totems stack explosive arrows into a target that detonate in one massive ignite — totem-delivered fuse-stack bossing royalty.
DRMSLC-HNMD-SP-CO-~~,DRMSLC-HNMD-SP-CO-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|SINGLE|CHAN×GX-11,poe2-snipe-mirage-deadeye,Snipe Mirage Deadeye,poe2,poe2,T1,deep,False,,,GX-11,light,single,channel,unknown,very-high,cold,0.47,,,,,0.5-ancients,mb2;aoe,blocked-new,sustained-stream/channel verb + movement-tax tuning,Snipe's channeled shot one-taps bosses while the reworked Mirage Deadeye now lets a MIRAGE COPY execute channeled skills for you — the chann
DRMSLI-HLDD-CD-PH-~~,DRMSLI-HLDD-CD-PH-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|LARGE|INST×econ:cooldown,d3-natalya-rov,Natalya Rain of Vengeance,d3,d3,T1,moderate,False,,,,light,large-AOE,instant,cooldown-reset-loop,high,physical,0.73,,,,,set-era;late-sets;s39,vx;kb,verify,no rule matched — Mac pass to classify,"Cooldown-looped Rain of Vengeance barrages under Natalya's reset engine — call the arrow storm, refresh it before it lands twice; UE's trans"
DRMSSC-HMDD-SP-CH-~~,DRMSSC-HMDD-SP-CH-~~,,,12,1,T1,1,0,1,True,canon,SOLO|MULTI|CHAN×GAP-P1-04,poe1-scourge-arrow,Scourge Arrow,poe1,poe1,T1,moderate,False,,,GAP-P1-04,solo,multi-spawn,channel,mana-light,high,chaos,0.78,,,,,3.0-3.6;3.7-3.13,kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,"Channel to grow thorn charge stages, release a spore-pod fan — bow channel-and-release with poison stacking."
DRMSSI-HLDD-AM-FI-~~,DRMSSI-HLDD-AM-FI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|LARGE|INST×GX-03,poe2-gas-arrow-ignite,Gas Arrow Detonation,poe2,poe2,T1,deep,False,,,GX-03,solo,large-AOE,instant,field-resource-consume,high,fire,0.78,,,,,0.1;0.2-dawn;0.3-edict,kb,blocked-new,mark/tag ledger + consume-trigger operators,"Lay a poison gas cloud, then IGNITE it with any fire source for a screen-clearing explosion — the purest expression of PoE2's designed two-s"
DRMSSI-HNDD-SP-PH-~~,DRMSSI-HNDD-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,SOLO|SINGLE|INST×econ:spend,d4-pen-shot,Penetrating Shot Rogue,d4,d4,T1,deep,False,,,,solo,single,instant,energy-spender,high,physical,0.85,,,,,launch-s1-3;loot-reborn-s4-5;voh-s6+,kb,have-core,direct-hit instant verbs native,One piercing line-shot deletes the corridor — Victimize vulnerability explosions cascade off each pierce; the sniper-lane archetype with a d
DRMSSI-HNMG-SP-PO-~~,DRMSSI-HNMG-SP-PO-~~,,,12,1,T2,1,0,1,True,canon,SOLO|SINGLE|INST×GX-03,tq-brigand-poison,Poison Brigand,tq,tq,T2,deep,False,,,GX-03,solo,single,instant,mark-execute,high,poison,0.85,,,,,base-2006;anniversary-2016,tqf;kb,blocked-new,mark/tag ledger + consume-trigger operators,"Study Prey strips the target, envenomed pierce deletes it — the calculated glass cannon whose whole identity is mark-then-execute; TQ's debu"
DRMSSI-HSDD-SP-FI-~~,DRMSSI-HSDD-SP-FI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|SMALL|INST×GAP-P1-10,poe1-elemental-hit,Elemental Hit,poe1,poe1,T1,deep,False,,,GAP-P1-10,solo,small-AOE,instant,mana-light,high,fire,0.82,,,,,3.0-3.6,kb,have-core,direct-hit instant verbs native,Each attack rolls ONE random element at huge values; Combat Focus rings delete unwanted elements to force the roll — RNG-element bow burst.
DRMSSI-MLMM-AM-FI-~~,DRMSSI-MLMM-AM-FI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|LARGE|INST×GX-03,poe2-witchhunter-grenades,Grenadier Witchhunter,poe2,poe2,T1,deep,False,,,GX-03,solo,large-AOE,instant,ammo-reload-cycle,med,fire,0.78,,,,,0.1;0.2-dawn;0.3-edict;0.4;0.5-ancients,kb;bm,blocked-new,mark/tag ledger + consume-trigger operators,"Lob timed grenades — cluster, flash, oil — whose fuses reward pre-stacking a kill zone before anything walks in; deploy-then-payoff crossbow"
D____I-K___-SP-__-~~,D____I-K___-SP-__-~~,HELD — P-2b pin,,4,1,RDR,1,0,1,True,bench,UNSPEC|UNSPEC|INST×econ:spend,B6,"Dash-Weaver Martial (D3 Dashing Strike, LE Shift)",rdr-roster,rdr-roster,RDR,bench,False,bench-verbatim,,,,,instant,,skill-IS-movement,,0.2,,,,,rdr-part-f-2026-07-11,part-f,blocked-new,Same movement-verb exclusion as B5; same pin.,Same movement-verb exclusion as B5; same pin.
IDHFHI-MNDM-SP-FI-~~,IDHFHI-MNDM-SP-FI-~~,,,12,1,T1,1,0,1,True,canon,HEAVY|SINGLE|INST×econ:spend,poe1-srs,Summon Raging Spirits,poe1,poe1,T1,deep,False,,,,heavy,single,instant,cast-to-spawn-decay,med,fire,0.78,,,,,1.x;2.x;3.0-3.6;3.7-3.13;3.20+,kb,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,Machine-gun a stream of temporary flaming-skull minions that fly at enemies and expire seconds later — minions as AMMUNITION rather than arm
IDHFLC-_MMG-SP-CO-~~,IDHFLC-_MMG-SP-CO-~~,,,11,1,T1,1,0,1,True,canon,LIGHT|MULTI|CHAN×GAP-P1-06,poe1-winter-orb,Winter Orb,poe1,poe1,T1,deep,False,,,GAP-P1-06,light,multi-spawn,channel,stack-decay,move-while-orb-fires,cold,0.73,,,,,3.0-3.6,kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,Channel to charge a floating orb above the caster that autonomously machine-guns frost bolts at nearby enemies while you run — charge-then-c
IDHFLI-HMDD-PC-FI-~~,IDHFLI-HMDD-PC-FI-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|MULTI|INST×econ:proc,poe1-poets-pen-vd,Poet's Pen Volatile Dead,poe1,poe1,T1,deep,False,,,,light,multi-spawn,instant,corpse-resource+trigger-cadence,high,fire,0.78,,,,,3.0-3.6,kb,verify,no rule matched — Mac pass to classify,Unique wands auto-cast socketed spells on attack — attack-triggered Volatile Dead orbs seek and detonate off Unearth corpses; the item-trigg
IDHFLI-MCDG-AM-CH-~~,IDHFLI-MCDG-AM-CH-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|CHAIN|INST×GAP-P1-01,poe1-dark-pact,Dark Pact,poe1,poe1,T1,deep,False,,,GAP-P1-01,light,chain,instant,minion-life-consume,med,chaos,0.8,,,,,3.0-3.6,kb,verify,no rule matched — Mac pass to classify,"Chaining chaos nova that SACRIFICES skeleton life to fuel its damage — or your own life if no skeletons; minions as batteries, the self-dama"
IDHFSC-RNDG-SP-LI-~~,IDHFSC-RNDG-SP-LI-~~,,,12,1,T2,1,1,1,False,canon,SOLO|SINGLE|CHAN×econ:spend,tl2-arc-beam,Arc Beam Embermage (as primary),tl,tl2,T2,negative,True,,,,solo,single,channel,mana-per-tick,rooted-while-channel,lightning,0.87,,,,,tl2-2012,tlf;kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,"The channel lightning beam that drank the mana pool faster than it killed — rooted, hungry, and out-damaged by Prismatic spam in the same tr"
IDHFSC-RNMG-SP-CO-~~,IDHFSC-RNMG-SP-CO-~~,,,12,1,T2b,1,0,1,True,canon,SOLO|SINGLE|CHAN×GX-21,di-ray-of-frost-wizard,Ray of Frost Wizard,di,di,T2b,moderate,False,,,GX-21,solo,single,channel,channel-uptime,rooted-while-channel,cold,0.83,f2p-viable,,pve,,di-launch-2022,mm;kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,"The channeled frost beam plus AoE burst — control-freeze into detonation windows, the launch-era Wizard default; the sustained-stream family"
IDHFSC-RSDM-SP-FI-~~,IDHFSC-RSDM-SP-FI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|SMALL|CHAN×econ:spend,gd-flames-of-ignaffar-purifier,Flames of Ignaffar Purifier,gd,gd,T1,deep,False,,,,solo,small-AOE,channel,mana-per-tick,rooted-while-channel,fire,0.87,,,,,aom-2017;patch-1.1-1.2,gt;cf;kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,The holy flamethrower — channel a widening cone of purging fire that ramps intensity the longer it burns; GD's second great channel next to 
IDHFSC-_SDM-SP-NE-~~,IDHFSC-_SDM-SP-NE-~~,,,11,1,T1,1,0,1,True,canon,SOLO|SMALL|CHAN×econ:spend,le-ghostflame-warlock,Ghostflame Warlock,le,le,T1,moderate,False,,,,solo,small-AOE,channel,mana-per-tick+curse,full_move-during,necrotic,0.82,,,,,1.0-launch;1.1-harbingers,kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,Channel a stream of spectral fire that hybridizes necrotic and fire damage while curses amplify — the Warlock's channel identity next to Fis
IDHFSI-MSDG-SP-FI-~~,IDHFSI-MSDG-SP-FI-~~,,,12,1,T2,1,1,1,False,canon,SOLO|SMALL|INST×econ:spend,tq-flame-surge,Flame Surge (as primary),tq,tq,T2,negative,True,,,,solo,small-AOE,instant,mana-spender,med,fire,0.85,,,,,base-2006;immortal-throne-2007;anniversary-2016,tqf;kb,have-core,direct-hit instant verbs native,Earth's short cone-spray that never out-earned its own mastery siblings — every point spent here was a point not spent on Volcanic Orb; the 
IDHFSI-MSMM-PC-CO-~~,IDHFSI-MSMM-PC-CO-~~,,,12,1,T1,1,0,1,True,canon,SOLO|SMALL|INST×econ:proc,le-frost-claw,Frost Claw Sorcerer,le,le,T1,deep,False,,,,solo,small-AOE,instant,proc-cascade,med,cold,0.83,,,,,beta-0.8-0.9;1.0-launch,kb,have-core,direct-hit instant verbs native,Raking spectral claws with a tree that triggers FREE Elemental Novas off claw hits — the proc-cascade caster that ruled the launch window; o
IDHFSI-_LDM-PC-CH-~~,IDHFSI-_LDM-PC-CH-~~,,,11,1,T1,1,0,1,True,canon,SOLO|LARGE|INST×GAP-P1-01,poe1-cwdt-loop,CWDT Self-Hit Loop,poe1,poe1,T1,moderate,False,degenerate-famous,,GAP-P1-01,solo,large-AOE,instant,self-hit-trigger-engine,walk-forward,chaos,0.65,,,,,3.14-3.19;3.20+,kb,have-core,direct-hit instant verbs native,"Self-damage sources feed Cast-when-Damage-Taken, whose triggered spells cause more self-damage — a closed automation circuit; the build cast"
IDHFSI-_MDM-SP-CH-~~,IDHFSI-_MDM-SP-CH-~~,,,11,1,T1,1,0,1,True,canon,SOLO|MULTI|INST×GAP-P1-01,poe1-ward-loop,Ward Loop,poe1,poe1,T1,deep,False,degenerate-famous,,GAP-P1-01,solo,multi-spawn,instant,closed-loop-self-damage-engine,walk-forward,chaos,0.63,,,,,3.14-3.19;3.20+,kb,have-core,direct-hit instant verbs native,"Skeletons die instantly, Heartbound Loop self-damages you, CWDT recasts skeletons, Olroth's ward absorbs it all — a PERPETUAL MOTION cast en"
IDHSLI-HCDM-SP-PH-~~,IDHSLI-HCDM-SP-PH-~~,,,12,1,T2,1,0,1,True,canon,LIGHT|CHAIN|INST×GX-10,chr-mechanist-saw-master,Saw Master Mechanist,chronicon,chronicon,T2,moderate,False,,,GX-10,light,chain,instant,multiplier-stack,high,physical,0.75,,,,damage overflows display units (guide-documented),ancient-beasts-dlc;current-1.52,sf,blocked-new,return-path/carom projectile solver,Ricocheting saw blades whose multiplicative stacking overflowed the game's own number formatting — the guide author decoding a 67-DIGIT hit 
IDHSSI-MSDM-AM-PH-~~,IDHSSI-MSDM-AM-PH-~~,,,12,1,T2b,1,0,1,True,canon,SOLO|SMALL|INST×GX-04,di-corpse-explosion-necro,Corpse Explosion Necromancer,di,di,T2b,moderate,False,,,GX-04,solo,small-AOE,instant,corpse-ammo,med,physical,0.82,f2p-viable,,pve,,di-launch-2022,sk;kb,blocked-new,on-kill resource-spawn economy (corpse/soul ammo),The dead detonate the living — Corpse Explosion chains through dense packs turning every kill into ammunition; the corpse-economy grammar in
IDHVLI-HNMM-PC-LI-~~,IDHVLI-HNMM-PC-LI-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|SINGLE|INST×econ:proc,d4-lightning-spear,Lightning Spear Sorcerer,d4,d4,T1,deep,False,,,,light,single,instant,cooldown+proc-recursion,high,lightning,0.72,,,,,loot-reborn-s4-5;voh-s6+,kb,verify,no rule matched — Mac pass to classify,Conjured spears crackle around the sorcerer hunting targets autonomously while crit chains multiply them — a swarm of self-guided lances doi
IDHVLI-MMMM-SP-AR-~~,IDHVLI-MMMM-SP-AR-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|MULTI|INST×GX-09,d3-dmo-twister,DMO Energy Twister,d3,d3,T1,deep,False,,,GX-09,light,multi-spawn,instant,arcane-spender,med,arcane,0.75,,,,,set-era,kb,designed-addendum,rotational/orbital substrate addendum — build pending,Delsere slow-time bubbles trap packs while Ranslor's bracers make Energy Twisters VACUUM enemies into their wandering funnels — spawned haza
IDHVSI-MNMG-SP-CO-~~,IDHVSI-MNMG-SP-CO-~~,,,12,1,T1,1,0,1,True,canon,SOLO|SINGLE|INST×econ:spend,poe1-freezing-pulse,Freezing Pulse,poe1,poe1,T1,deep,False,,,,solo,single,instant,mana-mid,med,cold,0.8,,,,,1.x;2.x;3.0-3.6,kb,have-core,direct-hit instant verbs native,Piercing cold pulse that decays with distance — the founding-era caster staple; closer is deadlier.
IDLFHI-LNDM-SU-PH-~~,IDLFHI-LNDM-SU-PH-~~,,,12,1,T1,1,1,1,False,canon,HEAVY|SINGLE|INST×econ:summon,d2-golemancer,Golemancer,d2,d2,T1,negative,True,,,,heavy,single,instant,summon-upkeep,low,physical,0.77,,,,,lod,kb,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,"Golem-as-primary-damage never worked across two decades; golems are utility bodies, not engines — documented dead-as-main branch."
IDLFHI-_NMM-AM-__-~~,IDLFHI-_NMM-AM-__-~~,,,10,1,T1,1,0,1,True,canon,HEAVY|SINGLE|INST×GAP-D2-11,d2-wl-tainted-summoner,Tainted Summoner Warlock,d2,d2,T1,moderate,False,,,GAP-D2-11,heavy,single,instant,convert-consume,unknown,shadow?,0.47,,,,,rotw-s13+,iv;aoe,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,"Bind Demon converts enemies into companions, then consumes them — an enemy-conversion summon economy (reap-adjacent verb in official D2!). S"
IDLFLI-HLMD-SP-CO-~~,IDLFLI-HLMD-SP-CO-~~,,,12,1,T2,1,0,1,True,canon,LIGHT|LARGE|INST×econ:spend,tl2-hailstorm-embermage,Hailstorm Embermage,tl,tl2,T2,deep,False,,,,light,large-AOE,instant,zone-paint,high,cold,0.75,,,,,tl2-2012,tlf;kb,verify,no rule matched — Mac pass to classify,Park a HAILSTORM overhead and let the sky do the clearing — falling ice blankets the screen while Frost Phase blinks you between safe corner
IDLFLI-MLDM-SP-FI-~~,IDLFLI-MLDM-SP-FI-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|LARGE|INST×GX-03,le-chthonic-fissure-warlock,Chthonic Fissure Warlock,le,le,T1,deep,False,,,GX-03,light,large-AOE,instant,curse-stack-multiplication,med,fire,0.77,,,,,1.0-launch;1.1-harbingers;1.4-omens,gg;lw;kb,blocked-new,mark/tag ledger + consume-trigger operators,Tear the ground open — the fissure crawls forward belching chaos SPIRITS that seek and burn while curse stacks multiply everything; the genr
IDLFLI-MLDT-LC-VI-~~,IDLFLI-MLDT-LC-VI-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|LARGE|INST×GX-06,gd-vitality-conjurer,Vitality Conjurer,gd,gd,T1,deep,False,,,GX-06,light,large-AOE,instant,zone-paint+leech,med,vitality,0.73,,,,,aom-2017;fg-2019;patch-1.1-1.2,gt;cf;kb,blocked-new,self-cost contract operators,Sigils of Consumption painted underfoot and devotion bats leeching overhead — the vitality drain-tank whose Dark One's incarnation became GD
IDLFSI-HLDG-SP-FI-~~,IDLFSI-HLDG-SP-FI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|LARGE|INST×GAP-D2-01,d2-firewall-sorc,Firewall Sorceress,d2,d2,T1,moderate,False,,,GAP-D2-01,solo,large-AOE,instant,mana-mid,teleport-high,fire,0.83,,,,,lod-1.09,kb,have-core,direct-hit instant verbs native,1.09's dominant caster: Firewall zone damage before synergies existed; era-canon proving zone-DPS supremacy under old math.
IDLFSI-HLMM-SP-FI-~~,IDLFSI-HLMM-SP-FI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|LARGE|INST×econ:spend,gd-bwc-demolitionist,Blackwater Cocktail Demolitionist,gd,gd,T1,moderate,False,,,,solo,large-AOE,instant,zone-paint,high,fire,0.85,,,,,base-2016;patch-1.1-1.2,gt;kb,have-core,direct-hit instant verbs native,"Lob burning tar that PAINTS the floor in fire — Blackwater Cocktail's ground DoT with fumble transmuters; molotov-carpet casting, the origin"
IDLFSI-MLMT-SP-FI-~~,IDLFSI-MLMT-SP-FI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|LARGE|INST×GX-15,gd-word-of-pain-tactician,Word of Pain Tactician,gd,gd,T1,moderate,False,,,GX-15,solo,large-AOE,instant,tag-and-wait,med,fire,0.83,,,,,aom-2017;patch-1.1-1.2,gt;kb,partial,element-application addendum covers hybrid caps — status-gate ops verify,A cast-and-forget pain aura stamped onto packs — Word of Pain ticks elemental agony over a wide brand while the tactician holds the line; th
IDLFSI-MLMT-SP-VI-~~,IDLFSI-MLMT-SP-VI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|LARGE|INST×econ:spend,gd-ravenous-earth-oppressor,Ravenous Earth Oppressor,gd,gd,T1,moderate,False,,,,solo,large-AOE,instant,zone-paint,med,vitality,0.82,,,,,fg-2019;patch-1.1-1.2,gt;kb,have-core,direct-hit instant verbs native,The ground itself decays — Ravenous Earth erupts hungering terrain that ticks vitality rot across its patch; zone-decay casting under zealot
IDLFSI-MSMM-SP-CH-~~,IDLFSI-MSMM-SP-CH-~~,,,12,1,T1,1,0,1,True,canon,SOLO|SMALL|INST×econ:spend,poe1-bane,Bane,poe1,poe1,T1,moderate,False,,,,solo,small-AOE,instant,mana-mid,med,chaos,0.85,,,,,3.0-3.6;3.7-3.13,kb,have-core,direct-hit instant verbs native,One cast applies chaos DoT AND every linked curse simultaneously — the curse-bundler damage spell.
IDLSHI-LLMM-SP-PH-~~,IDLSHI-LLMM-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,HEAVY|LARGE|INST×GAP-D2-04,d2-summonmancer,Summonmancer,d2,d2,T1,deep,False,,,GAP-D2-04,heavy,large-AOE,instant,corpse-resource,low,physical,0.82,,,,,classic;lod-1.10+;d2r;rotw-s14,iv;od;kb,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,"Skeleton army + Amplify Damage + Corpse Explosion chain: kills make corpses, corpses make bombs and soldiers — the corpse-economy engine and"
IDLSSC-RLDG-SP-FI-~~,IDLSSC-RLDG-SP-FI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|LARGE|CHAN×GAP-P1-04,poe1-flameblast,Flameblast,poe1,poe1,T1,deep,False,,,GAP-P1-04,solo,large-AOE,channel,mana-per-stage,rooted-while-channel,fire,0.88,,,,,1.x;2.x;3.0-3.6,kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,"Channel to grow a circle through ten stages, release an enormous fire nova at full size — the genre's purest charge-and-detonate spell."
IDMFHI-MMDM-SU-FI-~~,IDMFHI-MMDM-SU-FI-~~,,,12,1,T1,1,0,1,True,canon,HEAVY|MULTI|INST×GAP-D2-10,poe1-golementalist,Golementalist,poe1,poe1,T1,deep,False,,,GAP-D2-10,heavy,multi-spawn,instant,summon-upkeep,med,fire,0.78,,,,,2.x;3.0-3.6;3.7-3.13,kb,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,Primordial jewels turn the golem menagerie into the whole build — each golem type contributes a distinct aura-buff while fighting; the pet-w
IDMFHI-MSDM-SU-PO-~~,IDMFHI-MSDM-SU-PO-~~,,,12,1,T2,1,0,1,True,canon,HEAVY|SMALL|INST×GX-04,chr-bloodbinder-warlock,Bloodbinder Warlock,chronicon,chronicon,T2,deep,False,,,GX-04,heavy,small-AOE,instant,hit-manufactured-summons,med,poison,0.78,,,,endgame per guide (DLC-revived),1.0-2020;ancient-beasts-dlc,sf,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,"Poison hits MANUFACTURE slime companions — Living Blood spawns off every poison tick, Quadruplets' four companions double-dip the on-hit tri"
IDMFLI-MLCM-SP-CO-~~,IDMFLI-MLCM-SP-CO-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|LARGE|INST×GX-18-proposed,le-frost-wall-rm,Frost Wall Runemaster,le,le,T1,deep,False,,,GX-18-proposed,light,large-AOE,instant,wall-enhanced-casting,med,cold,0.72,,,,,1.0-launch;1.2-woven,let;kb,partial,persistent/mobile zone entities — VFX slot model adjacent; follow-zones new,"WALLS as the win condition — Frost Wall segments block, chill, and detonate through tree nodes while spells fired THROUGH the wall gain powe"
IDMFLI-MLMM-SP-PO-~~,IDMFLI-MLMM-SP-PO-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|LARGE|INST×econ:spend,d2-poison-nova-necro,Poison Nova Necromancer,d2,d2,T1,deep,False,,,,light,large-AOE,instant,mana-mid,med,poison,0.77,,,,,lod-1.10+;d2r,kb,verify,no rule matched — Mac pass to classify,"Poison Nova blankets the whole screen in an expanding DoT ring on cooldown cadence, Lower Resist amplifying; sweep-and-move plague caster."
IDMFSI-HLCM-CD-SH-~~,IDMFSI-HLCM-CD-SH-~~,,,12,1,T2b,1,0,1,True,canon,SOLO|LARGE|INST×GX-18,di-bone-wall-necro-pvp,Bone Wall Disruption Necro,di,di,T2b,moderate,False,,,GX-18,solo,large-AOE,instant,cooldown-window,high,shadow,0.77,mixed,,pvp,,di-launch-2022;di-2026-era,db,partial,persistent/mobile zone entities — VFX slot model adjacent; follow-zones new,Wraith Form invulnerability weaves through the fight while Bone Wall carves the arena into stun corridors — terrain-authoring as PvP identit
IDMFSI-ML_M-CD-__-~~,IDMFSI-ML_M-CD-__-~~,,,10,1,T1,1,0,1,True,canon,SOLO|LARGE|INST×GX-16,d3-znec,zNec,d3,d3,T1,deep,False,,,GX-16,solo,large-AOE,instant,cooldown-uptime,med,n/a,0.7,,,,,late-sets;s39,kb,have-core,direct-hit instant verbs native,"Zero-damage support necro — Frailty curse execution thresholds, globe generation, and group-wide Land of the Dead uptime; the trash-killer's"
IDMFSI-MSMM-RS-__-~~,IDMFSI-MSMM-RS-__-~~,,,11,1,T2b,1,0,1,True,canon,SOLO|SMALL|INST×GX-05,ud-seal-veil-daimonios,Seal/Veil Resource Build (Daimonios),undecember,undecember,T2b,moderate,False,,,GX-05,solo,small-AOE,instant,seal-reservation+shared-link,med,unknown,0.72,,kr-trunk,,,ud-s7-2025,pgm,partial,reservation/aura toggles — loot-operator extension,Many SEAL skills stacked under Veil with a high-level Improved Technique link shared across them to crush resource costs — the reservation-e
IDMSHI-MSDM-SU-AC-~~,IDMSHI-MSDM-SU-AC-~~,,,12,1,T1,1,0,1,True,canon,HEAVY|SMALL|INST×GX-04,gd-blight-fiend-ritualist,Blight Fiend Ritualist,gd,gd,T1,moderate,False,,,GX-04,heavy,small-AOE,instant,summon-detonate-cycle,med,acid,0.8,,,,,aom-2017;patch-1.1-1.2,gt;kb,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,Summon the rotting horror that EXPLODES on death and gets resummoned INTO packs — the disposable-bomber pet whose corpse is the payload; pet
IDMVLI-_LDM-SP-__-~~,IDMVLI-_LDM-SP-__-~~,,,10,1,T1,1,0,1,True,canon,LIGHT|LARGE|INST×GAP-D2-11,d2-wl-blood-boil,Blood Boil Warlock,d2,d2,T1,deep,False,,,GAP-D2-11,light,large-AOE,instant,hp-flavored?,unknown,shadow/blood?,0.43,,,,,rotw-s13+,iv;od,verify,no rule matched — Mac pass to classify,"Blood Boil synergy now feeds Summon Tainted, making a blood-caster/summon pairing S-tier — blood-cost-flavored caster in the new class. SEAR"
IMHFLI-_SDM-SU-PH-~~,IMHFLI-_SDM-SU-PH-~~,,,11,1,T1,1,0,1,True,canon,LIGHT|SMALL|INST×GAP-P1-01,poe1-minion-pact-bv,Minion Pact Blade Vortex,poe1,poe1,T1,moderate,False,degenerate-famous,,GAP-P1-01,light,small-AOE,instant,minion-sacrifice-snapshot,unknown,physical,0.37,,,,,3.20+,mb,verify,no rule matched — Mac pass to classify,3.28's Minion Pact gem lets Blade Vortex SNAPSHOT a sacrificed high-life Spectre's pool into its damage — the community expects a nerf. SEAR
IMHFSC-RSDG-SP-FI-~~,IMHFSC-RSDG-SP-FI-~~,,,12,1,T1,1,1,1,False,canon,SOLO|SMALL|CHAN×econ:spend,d2-inferno-sorc,Inferno Sorceress,d2,d2,T1,negative,True,,,,solo,small-AOE,channel,mana-drain,rooted-while-channel,fire,0.87,,,,,classic;lod,kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,Inferno's channel flame cone under-delivered its listed damage for decades (infamous breakpoint bug); the canonical dead channel skill.
IMHFSI-HLDG-SP-LI-~~,IMHFSI-HLDG-SP-LI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|LARGE|INST×GAP-D2-01,d2-nova-sorc,Nova Sorceress,d2,d2,T1,deep,False,,,GAP-D2-01,solo,large-AOE,instant,mana-extreme,teleport-very-high,lightning,0.87,,,,,lod;d2r;rotw-s14,od;dw,have-core,direct-hit instant verbs native,Nova rings expand from the body at spam cadence; point-blank screen-clear caster living inside melee range by choice.
IMHFSI-HLDM-SP-PH-~~,IMHFSI-HLDM-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,SOLO|LARGE|INST×GX-06,d3-trag-nova,Trag'Oul Death Nova,d3,d3,T1,deep,False,,,GX-06,solo,large-AOE,instant,life-as-second-mana,high,physical,0.87,,,,,late-sets;s39,bm3;kb,blocked-new,self-cost contract operators,"Death Nova paid for in LIFE under Trag'Oul's blood-magic doubler — every cast bleeds you, every heal is amplified, the health globe is a sec"
IMHFSI-HSDD-SP-CH-~~,IMHFSI-HSDD-SP-CH-~~,,,12,1,T1,1,0,1,True,canon,SOLO|SMALL|INST×GAP-P1-06,poe1-poison-bv,Poison Blade Vortex,poe1,poe1,T1,deep,False,,,GAP-P1-06,solo,small-AOE,instant,stack-refresh-cycle,high,chaos,0.82,,,,,2.x;3.0-3.6;3.7-3.13;3.14-3.19,kb,have-core,direct-hit instant verbs native,"Stacks up to ten spinning blades ORBITING the body, each hitting everything nearby on rotation — maintain the stack, walk into packs, everyt"
