track_id,wave,t_birth_s,t_last_s,n_frames,r_birth_gpx,r_birth_m_lo119,r_birth_m_hi125,r_min_gpx,r_min_m_lo119,r_min_m_hi125,at_frustum_boundary,G_MAX,N_MIN,H_GAP,basis
T01001,155,750.4833,750.9667,29,271.99,2.2856,2.1759,211.62,1.7783,1.693,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01002,155,750.55,751.6667,56,823.12,6.917,6.585,548.5,4.6092,4.388,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01003,155,750.6167,750.7667,6,925.1,7.7739,7.4008,925.1,7.7739,7.4008,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01004,155,750.7167,750.85,8,1100.41,9.2471,8.8033,1100.41,9.2471,8.8033,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01005,155,750.8167,750.9167,6,190.89,1.6041,1.5271,190.89,1.6041,1.5271,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01006,155,750.8667,751.1167,7,1014.57,8.5258,8.1166,994.02,8.3531,7.9522,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01007,155,751.0667,751.25,12,578.38,4.8604,4.6271,552.16,4.64,4.4172,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01008,155,751.0667,751.3333,17,580.66,4.8795,4.6453,555.59,4.6689,4.4447,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01009,155,751.1667,754.2833,184,267.64,2.2491,2.1411,267.64,2.2491,2.1411,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01010,155,751.55,752.0667,29,175.4,1.474,1.4032,151.79,1.2756,1.2143,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01011,155,751.5667,751.7,6,234.48,1.9704,1.8758,205.7,1.7286,1.6456,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01012,155,751.5667,752.0667,30,251.52,2.1136,2.0122,231.71,1.9471,1.8537,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01013,155,751.7333,751.8833,10,353.99,2.9747,2.8319,344.72,2.8968,2.7577,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01014,155,751.7333,752.3,32,573.76,4.8215,4.59,553.45,4.6508,4.4276,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01015,155,751.7333,752.3,35,572.63,4.812,4.581,552.14,4.6398,4.4171,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01016,155,751.7667,752.0167,16,668.89,5.6209,5.3511,657.55,5.5256,5.2604,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01017,155,751.7667,752.1,14,515.68,4.3334,4.1254,504.08,4.236,4.0326,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01018,155,751.8,752.0667,12,492.32,4.1371,3.9385,488.29,4.1033,3.9063,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01019,155,751.8,752.1,19,435.73,3.6616,3.4859,431.67,3.6275,3.4534,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01020,155,751.8,752.3,29,488.83,4.1078,3.9106,485.1,4.0765,3.8808,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01021,155,751.9,752.0167,6,201.32,1.6918,1.6106,176.08,1.4797,1.4086,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01022,155,751.9,752.1,13,519.67,4.367,4.1574,519.67,4.367,4.1574,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01023,155,752.1167,752.3,12,522.34,4.3894,4.1787,496.38,4.1712,3.971,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01024,155,752.1667,752.3,7,37.01,0.311,0.2961,37.01,0.311,0.2961,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01025,155,752.3333,752.6833,10,338.62,2.8456,2.709,270.83,2.2759,2.1667,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01026,155,752.3667,752.4667,7,1070.99,8.9999,8.5679,1070.99,8.9999,8.5679,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01027,155,752.3667,752.5667,7,155.58,1.3074,1.2446,98.68,0.8293,0.7895,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01028,155,752.5167,753.9833,89,695.86,5.8476,5.5669,208.91,1.7556,1.6713,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01029,155,752.65,752.7667,6,200.12,1.6817,1.601,168.35,1.4147,1.3468,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01030,155,752.6667,752.8833,12,247.01,2.0757,1.9761,218.85,1.8391,1.7508,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01031,155,752.6667,752.95,13,1066.11,8.9589,8.5288,1055.63,8.8708,8.445,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01032,155,752.7,752.9,8,169.58,1.425,1.3566,169.58,1.425,1.3566,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01033,155,752.7,752.95,11,174.56,1.4669,1.3965,152.0,1.2773,1.216,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01034,155,752.75,753.1333,16,140.12,1.1775,1.121,140.12,1.1775,1.121,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01035,155,752.85,753.0667,7,163.96,1.3778,1.3117,163.96,1.3778,1.3117,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01036,155,752.9667,753.35,16,252.0,2.1177,2.016,232.52,1.9539,1.8601,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01037,155,753.0167,753.1333,7,237.14,1.9927,1.8971,227.1,1.9084,1.8168,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01038,155,753.0167,753.3833,11,266.34,2.2382,2.1307,220.67,1.8544,1.7654,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01039,155,753.15,753.3833,10,267.29,2.2461,2.1383,267.29,2.2461,2.1383,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01040,155,753.2833,753.5167,8,310.3,2.6076,2.4824,277.97,2.3359,2.2238,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01041,155,753.45,753.5667,8,551.21,4.6321,4.4097,551.21,4.6321,4.4097,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01042,155,753.45,753.5667,6,551.73,4.6364,4.4138,550.53,4.6263,4.4042,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01043,155,753.45,753.5667,8,496.28,4.1704,3.9702,496.28,4.1704,3.9702,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01044,155,753.65,753.7833,7,222.44,1.8692,1.7795,222.44,1.8692,1.7795,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01045,155,753.7833,755.6,104,1073.12,9.0178,8.585,1034.22,8.691,8.2738,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01046,155,754.1,754.2,6,99.83,0.8389,0.7986,99.83,0.8389,0.7986,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01047,155,754.15,754.4667,13,114.87,0.9653,0.9189,111.89,0.9403,0.8951,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01048,155,754.1833,754.5333,10,225.36,1.8938,1.8029,218.75,1.8382,1.75,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01049,155,754.45,758.55,236,508.17,4.2703,4.0654,55.89,0.4697,0.4471,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01050,155,754.5,754.6667,6,241.98,2.0335,1.9359,235.76,1.9812,1.8861,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01051,155,754.5333,754.6833,6,283.07,2.3787,2.2646,273.91,2.3018,2.1913,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01052,155,754.9,755.2333,12,39.69,0.3336,0.3176,39.69,0.3336,0.3176,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01053,155,755.55,755.6833,9,568.92,4.7808,4.5513,568.92,4.7808,4.5513,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01054,155,755.55,755.8333,16,666.63,5.6019,5.333,652.26,5.4811,5.218,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01055,155,755.55,755.8333,18,662.02,5.5632,5.2962,647.12,5.438,5.1769,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01056,155,755.7667,756.0667,8,254.96,2.1426,2.0397,246.99,2.0755,1.9759,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01057,155,755.95,756.45,20,196.61,1.6522,1.5729,196.61,1.6522,1.5729,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01058,155,755.9667,756.1167,10,568.69,4.7789,4.5495,568.69,4.7789,4.5495,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01059,155,755.9667,756.15,12,659.5,5.542,5.276,659.5,5.542,5.276,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01060,155,756.0,756.35,22,498.09,4.1856,3.9847,484.58,4.0721,3.8767,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01061,155,756.05,756.15,7,147.97,1.2435,1.1838,145.5,1.2227,1.164,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01062,155,756.1,756.3667,9,190.76,1.603,1.5261,184.82,1.5531,1.4786,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01063,155,756.25,756.35,7,663.61,5.5765,5.3089,657.9,5.5286,5.2632,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01064,155,756.3333,756.55,8,192.49,1.6176,1.5399,163.78,1.3763,1.3102,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01065,155,756.3667,757.35,49,1058.22,8.8926,8.4658,1041.03,8.7481,8.3282,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01066,155,756.75,757.0667,9,87.96,0.7392,0.7037,63.87,0.5368,0.511,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01067,155,756.75,757.1333,14,27.66,0.2324,0.2213,14.64,0.123,0.1171,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01068,155,756.8,757.1333,10,103.37,0.8687,0.827,61.55,0.5172,0.4924,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01069,155,756.8,757.2167,10,63.43,0.533,0.5074,63.43,0.533,0.5074,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01070,155,756.8,757.2167,13,108.03,0.9078,0.8642,89.74,0.7541,0.7179,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01071,155,756.8667,757.4333,11,32.63,0.2742,0.2611,11.17,0.0939,0.0894,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01072,155,757.0,757.7833,29,227.75,1.9139,1.822,152.95,1.2853,1.2236,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01073,155,757.0333,757.3167,7,187.06,1.5719,1.4965,187.06,1.5719,1.4965,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01074,155,757.0667,757.3,7,91.18,0.7662,0.7294,91.18,0.7662,0.7294,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01075,155,757.0667,757.35,16,518.31,4.3555,4.1464,508.95,4.2769,4.0716,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01076,155,757.0667,757.3667,14,668.53,5.6179,5.3483,652.76,5.4854,5.2221,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01077,155,757.0667,757.5667,28,669.05,5.6222,5.3524,654.62,5.501,5.237,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01078,155,757.0667,758.3333,39,42.84,0.36,0.3427,30.19,0.2537,0.2415,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01079,155,757.0667,759.05,120,577.91,4.8564,4.6233,561.96,4.7224,4.4957,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01080,155,757.0833,757.3167,7,69.22,0.5817,0.5538,69.22,0.5817,0.5538,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01081,155,757.0833,759.05,119,583.86,4.9064,4.6709,560.49,4.71,4.4839,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01082,155,757.1167,758.6667,54,111.68,0.9385,0.8935,70.69,0.5941,0.5655,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01083,155,757.3333,757.6,7,10.31,0.0866,0.0825,10.31,0.0866,0.0825,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01084,155,757.45,757.5833,6,140.47,1.1804,1.1237,82.34,0.6919,0.6587,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01085,155,757.45,758.3833,50,489.77,4.1157,3.9181,480.45,4.0374,3.8436,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01086,155,757.4833,757.6167,9,509.63,4.2826,4.077,505.8,4.2504,4.0464,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01087,155,757.6,758.0333,14,34.84,0.2928,0.2787,24.07,0.2023,0.1926,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01088,155,757.6333,759.3333,87,1067.42,8.9699,8.5394,1050.81,8.8303,8.4065,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01089,155,757.65,758.1667,25,667.12,5.6061,5.337,652.19,5.4806,5.2175,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01090,155,757.7,758.0833,12,146.24,1.2289,1.1699,146.24,1.2289,1.1699,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01091,155,757.75,758.05,11,240.33,2.0195,1.9226,231.25,1.9433,1.85,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01092,155,757.75,758.0667,7,232.52,1.9539,1.8601,232.52,1.9539,1.8601,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01093,155,757.75,758.15,12,252.35,2.1206,2.0188,231.22,1.9431,1.8498,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01094,155,757.7833,758.05,11,175.89,1.4781,1.4071,135.54,1.139,1.0844,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01095,155,757.8,758.0333,11,78.18,0.6569,0.6254,78.18,0.6569,0.6254,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01096,155,757.8,759.05,61,524.66,4.4089,4.1973,505.8,4.2504,4.0464,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01097,155,757.9667,758.3333,12,74.37,0.625,0.595,39.12,0.3288,0.313,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01098,155,758.0333,758.1667,6,181.11,1.522,1.4489,180.54,1.5171,1.4443,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01099,155,758.0333,758.6333,14,132.42,1.1127,1.0593,83.46,0.7013,0.6677,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01100,155,758.05,758.7833,25,187.99,1.5797,1.5039,10.31,0.0866,0.0825,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01101,155,758.0667,758.9333,31,180.88,1.52,1.447,162.53,1.3658,1.3003,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01102,155,758.1,758.25,8,108.48,0.9116,0.8678,25.07,0.2107,0.2006,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01103,155,758.1333,758.3,8,220.88,1.8561,1.767,207.48,1.7436,1.6599,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01104,155,758.3167,759.0167,19,145.57,1.2232,1.1645,114.27,0.9602,0.9141,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01105,155,758.4,758.4833,6,123.8,1.0403,0.9904,93.54,0.7861,0.7484,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01106,155,758.45,759.0333,24,71.87,0.604,0.575,34.05,0.2861,0.2724,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01107,155,758.4667,759.6167,19,121.07,1.0174,0.9686,89.47,0.7519,0.7158,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01108,155,758.7167,759.05,17,486.04,4.0843,3.8883,482.31,4.053,3.8585,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01109,155,758.7667,759.9667,30,22.06,0.1854,0.1765,22.06,0.1854,0.1765,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01110,155,758.8,759.05,12,146.39,1.2301,1.1711,101.34,0.8516,0.8107,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01111,155,758.8333,758.9333,6,88.28,0.7418,0.7062,83.16,0.6988,0.6653,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01112,155,758.8833,759.4167,7,113.21,0.9514,0.9057,83.21,0.6992,0.6657,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01113,155,758.8833,759.6333,13,227.35,1.9105,1.8188,208.58,1.7527,1.6686,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01114,155,758.9,759.4,10,54.65,0.4592,0.4372,21.08,0.1772,0.1687,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01115,155,758.9333,759.7,14,215.12,1.8077,1.721,202.59,1.7024,1.6207,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01116,155,759.3333,760.45,53,156.41,1.3144,1.2513,142.07,1.1939,1.1366,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01117,155,759.3833,759.7833,14,11.65,0.0979,0.0932,11.65,0.0979,0.0932,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01118,155,759.5333,759.8,11,200.6,1.6858,1.6048,127.55,1.0718,1.0204,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01119,155,759.5333,760.1,25,171.69,1.4427,1.3735,169.8,1.4269,1.3584,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01120,155,759.5667,759.8167,8,184.82,1.5531,1.4786,184.82,1.5531,1.4786,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01121,155,759.7667,760.1,13,108.5,0.9117,0.868,100.49,0.8444,0.8039,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01122,155,759.8167,759.9667,9,248.17,2.0855,1.9854,248.17,2.0855,1.9854,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01123,155,759.8333,760.1,11,197.66,1.661,1.5813,197.66,1.661,1.5813,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01124,155,759.85,760.0167,11,501.6,4.2152,4.0128,491.19,4.1277,3.9295,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01125,155,759.85,760.1,16,245.76,2.0652,1.9661,245.76,2.0652,1.9661,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01126,155,759.85,760.1,16,236.85,1.9903,1.8948,236.85,1.9903,1.8948,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01127,155,759.9833,760.1,8,208.68,1.7536,1.6694,208.68,1.7536,1.6694,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01128,155,760.1167,761.3833,77,435.9,3.6631,3.4872,435.9,3.6631,3.4872,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01129,156,760.25,760.5,6,260.34,2.1877,2.0827,256.33,2.154,2.0506,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01130,156,760.25,760.6,9,372.17,3.1275,2.9774,363.22,3.0522,2.9057,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01131,156,760.25,761.8667,98,1057.98,8.8906,8.4639,1044.87,8.7804,8.359,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01132,156,760.3,760.5167,10,259.7,2.1824,2.0776,259.7,2.1824,2.0776,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01133,156,760.4,760.6333,9,427.12,3.5893,3.417,409.13,3.4381,3.273,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01134,156,761.4,763.3833,104,1087.35,9.1374,8.6988,51.01,0.4287,0.4081,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01135,156,761.4833,761.85,23,737.33,6.196,5.8986,536.32,4.5069,4.2905,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01136,156,761.5833,761.6667,6,144.48,1.2141,1.1558,144.48,1.2141,1.1558,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01137,156,761.65,761.75,6,921.13,7.7406,7.369,921.13,7.7406,7.369,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01138,156,761.75,762.4167,41,1098.02,9.2271,8.7842,417.08,3.5049,3.3367,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01139,156,762.0,762.2667,17,509.16,4.2787,4.0733,507.15,4.2618,4.0572,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01140,156,762.0167,763.45,75,1056.46,8.8778,8.4517,1043.69,8.7705,8.3495,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01141,156,762.3167,763.3,55,1124.26,9.4475,8.9941,486.24,4.086,3.8899,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01142,156,762.4833,764.8833,127,1107.34,9.3054,8.8587,653.1,5.4882,5.2248,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01143,156,762.5,762.9333,27,1135.84,9.5449,9.0867,896.36,7.5324,7.1709,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01144,156,762.6333,762.8167,7,437.24,3.6743,3.4979,437.24,3.6743,3.4979,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01145,156,762.6333,762.9,15,415.8,3.4941,3.3264,415.8,3.4941,3.3264,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01146,156,762.6667,762.7667,7,575.78,4.8385,4.6063,575.78,4.8385,4.6063,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01147,156,762.85,763.1167,10,156.77,1.3174,1.2541,117.34,0.986,0.9387,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01148,156,762.8833,763.3,23,1315.73,11.0566,10.5259,1170.41,9.8354,9.3633,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01149,156,762.9167,763.3,21,894.16,7.5139,7.1533,569.71,4.7875,4.5577,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01150,156,762.9667,765.8667,147,255.69,2.1486,2.0455,173.89,1.4613,1.3911,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01151,156,763.0667,763.3,7,211.32,1.7758,1.6906,211.32,1.7758,1.6906,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01152,156,763.0667,763.4667,15,111.41,0.9362,0.8913,111.41,0.9362,0.8913,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01153,156,763.0667,763.6667,15,72.01,0.6051,0.576,57.48,0.4831,0.4599,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01154,156,763.1,763.2667,9,653.6,5.4924,5.2288,633.05,5.3198,5.0644,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01155,156,763.2833,763.6667,11,565.33,4.7506,4.5226,548.55,4.6097,4.3884,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01156,156,763.3833,763.55,7,377.32,3.1707,3.0185,286.9,2.4109,2.2952,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01157,156,763.3833,763.5667,8,515.02,4.3279,4.1202,459.25,3.8592,3.674,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01158,156,763.3833,763.8,22,463.76,3.8972,3.7101,165.7,1.3924,1.3256,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01159,156,763.3833,765.8667,130,1151.41,9.6757,9.2113,628.43,5.2809,5.0274,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01160,156,763.3833,766.2,138,575.41,4.8353,4.6032,168.9,1.4193,1.3512,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01161,156,763.4833,763.8,16,567.08,4.7654,4.5366,564.44,4.7432,4.5155,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01162,156,763.5333,763.7667,7,516.39,4.3394,4.1311,516.39,4.3394,4.1311,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01163,156,763.5667,764.0,16,162.75,1.3677,1.302,116.91,0.9824,0.9353,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01164,156,763.6,763.8667,13,56.09,0.4713,0.4487,22.94,0.1928,0.1835,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01165,156,763.6333,763.8,11,937.54,7.8784,7.5003,862.74,7.2499,6.9019,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01166,156,763.6667,763.9667,7,502.18,4.22,4.0175,500.48,4.2057,4.0039,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01167,156,763.7,763.9667,10,321.69,2.7032,2.5735,317.4,2.6673,2.5392,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01168,156,763.7,764.3667,36,511.27,4.2964,4.0901,508.04,4.2692,4.0643,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01169,156,763.7833,764.1833,18,80.02,0.6725,0.6402,67.2,0.5647,0.5376,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01170,156,763.8333,763.95,6,124.27,1.0443,0.9941,102.84,0.8642,0.8227,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01171,156,763.8333,764.25,9,500.65,4.2072,4.0052,464.04,3.8995,3.7123,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01172,156,763.9667,767.2833,170,1058.35,8.8937,8.4668,1036.3,8.7084,8.2904,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01173,156,764.0167,765.1,52,811.23,6.8171,6.4898,651.23,5.4725,5.2099,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
