summon,group,field,value,grade,source_record_or_rva,extraction_method
Deathstalker,attack_slot,special2.skillSpecialAnimationName,TailStrike,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_tailstrike.dbr,field read
Deathstalker,attack_slot,special3.record,records/skills/itemskillsgdx1/pets/petskill_deathstalker_shadowstrike.dbr,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,field read
Deathstalker,attack_slot,special3.class,Skill_AttackWeaponBlink,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_shadowstrike.dbr,field read
Deathstalker,attack_slot,special3.rank_equation,1,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,skillLevel4 beside skillName4
Deathstalker,attack_slot,special3.rank_used,1,DECODED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,skillLevel equation evaluated at charLevel=100
Deathstalker,attack_slot,special3.offensivePhysicalMin,250.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_shadowstrike.dbr,scalar field
Deathstalker,attack_slot,special3.offensivePoisonMax,388.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_shadowstrike.dbr,scalar field
Deathstalker,attack_slot,special3.offensivePoisonMin,250.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_shadowstrike.dbr,scalar field
Deathstalker,attack_slot,special3.offensiveSlowBleedingDurationMin,3.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_shadowstrike.dbr,scalar field
Deathstalker,attack_slot,special3.offensiveSlowBleedingMin,100.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_shadowstrike.dbr,scalar field
Deathstalker,attack_slot,special3.skillMaxLevel,1,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_shadowstrike.dbr,field read
Deathstalker,attack_slot,special3.distanceProfile,Long,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_shadowstrike.dbr,field read
Deathstalker,attack_slot,special3.skillSpecialAnimationName,ShadowStrike,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_shadowstrike.dbr,field read
Deathstalker,attack_slot,special4.record,records/skills/itemskillsgdx1/pets/petskill_deathstalker_roar.dbr,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,field read
Deathstalker,attack_slot,special4.class,Skill_AttackRadius,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_roar.dbr,field read
Deathstalker,attack_slot,special4.rank_equation,1,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,skillLevel8 beside skillName8
Deathstalker,attack_slot,special4.rank_used,1,DECODED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,skillLevel equation evaluated at charLevel=100
Deathstalker,attack_slot,special4.offensivePhysicalMin,130.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_roar.dbr,scalar field
Deathstalker,attack_slot,special4.offensivePoisonMax,215.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_roar.dbr,scalar field
Deathstalker,attack_slot,special4.offensivePoisonMin,130.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_roar.dbr,scalar field
Deathstalker,attack_slot,special4.offensiveSlowBleedingDurationMin,3.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_roar.dbr,scalar field
Deathstalker,attack_slot,special4.offensiveSlowBleedingMin,70.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_roar.dbr,scalar field
Deathstalker,attack_slot,special4.skillTargetRadius,6.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_roar.dbr,field read
Deathstalker,attack_slot,special4.skillMaxLevel,1,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_roar.dbr,field read
Deathstalker,attack_slot,special4.distanceProfile,Long,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_roar.dbr,field read
Deathstalker,attack_slot,special4.skillSpecialAnimationName,Roar,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_roar.dbr,field read
Deathstalker,attack_slot,buff_self.record,records/skills/itemskillsgdx1/pets/petskill_deathstalker_auraofdarkness.dbr,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,field read
Deathstalker,attack_slot,buff_self.class,Skill_BuffRadiusToggled,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_auraofdarkness.dbr,field read
Deathstalker,attack_slot,buff_self.rank_equation,1,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,skillLevel7 beside skillName7
Deathstalker,attack_slot,buff_self.rank_used,1,DECODED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,skillLevel equation evaluated at charLevel=100
Deathstalker,attack_slot,n_attack_slots,5,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,count of populated attack/specialAttack* slots
Deathstalker,swing,charAnimationTableName,records/creatures/enemies/anm/anm_manticore.dbr,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,field read
Deathstalker,swing,characterAttackSpeed,1.149999976158142,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,field read
Deathstalker,swing,characterSpellCastSpeed,1.149999976158142,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,field read
Deathstalker,swing,characterRunSpeed,1.2000000476837158,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,field read
Deathstalker,swing,unarmed_anim_weighted_base_s,0.933333,MEASURED,records/creatures/enemies/anm/anm_manticore.dbr,"anm_index frames/30 fps, weighted by unarmedAttackAnimWeight"
Deathstalker,swing,basic_swing_period_s,0.811594,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,weighted base / characterAttackSpeed (pm2b_petchain method)
Deathstalker,passive,armour_skill_record,records/skills/itemskills/pets/armorpets03.dbr,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,skillName2
Deathstalker,passive,armour_skill_rank_equation,charLevel*1,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,skillLevel2
Deathstalker,passive,armour_skill_rank_used,100,DECODED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,evaluated at charLevel=100
Deathstalker,passive,defensiveProtection,1021.0,MEASURED,records/skills/itemskills/pets/armorpets03.dbr,rank-array[100] of 200
Deathstalker,passive,defensiveSlowLifeLeach,60.0,MEASURED,records/skills/itemskills/pets/armorpets03.dbr,field read
Deathstalker,passive,defensiveSlowManaLeach,33.0,MEASURED,records/skills/itemskills/pets/armorpets03.dbr,field read
Deathstalker,passive,offensiveTauntMin,8.0,MEASURED,records/skills/itemskills/pets/armorpets03.dbr,field read
Deathstalker,passive,offensiveCritDamageModifier,0.0,MEASURED,records/skills/itemskills/pets/armorpets03.dbr,rank-array[100]
Deathstalker,resist,innate_passive_record,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,MEASURED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,skillName6
Deathstalker,resist,defensiveBleeding,88.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensiveBleedingDuration,33.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensiveColdDuration,33.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensiveConfusion,500.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensiveConvert,500.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensiveFear,500.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensiveFireDuration,33.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensiveLifeDuration,33.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensiveLightningDuration,33.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensivePercentCurrentLife,500.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensivePercentReflectionResistance,50.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensivePhysicalDuration,33.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensivePoisonDuration,33.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensiveSlowLifeLeach,90.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensiveSlowManaLeach,90.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,resist,defensiveTotalSpeedResistance,500.0,MEASURED,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,field read
Deathstalker,UNDERIVABLE,pet_charLevel_binding,UNDERIVABLE-WITH-PATH-NAMED,UNDERIVABLE-WITH-PATH-NAMED,records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr,"SpawnPet@Skill_SpawnPet (0x0041c850) contains NO SetLevel call; the pet is Load()ed from its record then JoinMe@Monster (Character vtable +0x30c, called at 0x0041ca9d) binds it to the caster. PATH TO CLOSE: decode JoinMe@Monster (0x002d5200) and the leader-level read it performs, OR read a live Guardian's level off a save/GDC block (NOT a tooltip - display-layer guard)."
Deathstalker,UNDERIVABLE,difficulty_pak_cell_index,UNDERIVABLE-WITH-PATH-NAMED,UNDERIVABLE-WITH-PATH-NAMED,records/game/balancingadjustment_mp+difficulty_pets01.dbr,"THE PAK IS DECODED (ContributeGameBalanceCharAttributes@Pet 0x00315f90 reads gGameEngine+0x19f0 = petAttributePak, and does NOT fold GetChallengeAdjustment). The 12-cell index for Crucible-Ultimate-solo was not re-derived on THIS lap. PATH TO CLOSE: Lap E pm4e_dispatch_evidence.csv already publishes cell 8 = 15.0 for the pet pak; re-derive the index selection in GameEngine before folding it."
