wave,tier,difficulty,characterAttackSpeedModifier,characterDefensiveAbility,characterDefensiveAbilityModifier,characterLifeModifier,characterLifeRegenModifier,characterManaRegenModifier,characterOffensiveAbility,characterOffensiveAbilityModifier,characterPercentHealIncreaseModifier,characterSpellCastSpeedModifier,defensivePercentCurrentLife,offensiveCritDamageModifier,offensivePhysicalModifier,offensiveSlowBleedingModifier,offensiveSlowColdModifier,offensiveSlowFireModifier,offensiveSlowLifeModifier,offensiveSlowLightningModifier,offensiveSlowPhysicalModifier,offensiveSlowPoisonModifier,offensiveTotalDamageModifier,retaliationTotalDamageModifier,skillCooldownReduction,spawnChampionMaxAdj,spawnChampionMinAdj
115,12,aspirant,6.0,24.0,4.0,62.0,30.0,30.0,27.0,2.799999952316284,-48.0,6.0,6.0,2.0,0.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,23.0,32.0,0.0,1,1
116,12,aspirant,6.0,25.0,4.0,62.0,31.0,31.0,28.0,2.799999952316284,-48.0,6.0,6.0,2.0,0.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,24.0,32.0,0.0,1,1
117,12,aspirant,6.0,25.0,4.0,64.0,32.0,32.0,28.0,2.799999952316284,-49.0,6.0,6.0,2.0,0.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,24.0,33.0,0.0,1,1
118,12,aspirant,6.0,25.0,4.0,64.0,32.0,32.0,28.0,2.799999952316284,-49.0,6.0,6.0,2.0,0.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,25.0,34.0,0.0,1,1
119,12,aspirant,6.0,25.0,4.0,66.0,33.0,33.0,28.0,2.799999952316284,-49.0,6.0,6.0,2.0,0.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,25.0,34.0,0.0,1,1
120,12,aspirant,6.0,26.0,4.0,67.0,34.0,34.0,29.0,2.799999952316284,-50.0,6.0,6.0,2.0,0.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,26.0,34.0,0.0,1,1
121,13,aspirant,6.0,26.0,4.0,68.0,35.0,35.0,29.0,2.799999952316284,-50.0,6.0,6.0,2.0,0.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,26.0,35.0,0.0,1,1
122,13,aspirant,6.0,26.0,4.0,68.0,36.0,36.0,29.0,2.799999952316284,-50.0,6.0,6.0,2.0,0.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,27.0,35.0,0.0,1,1
123,13,aspirant,6.0,26.0,4.0,68.0,37.0,37.0,29.0,2.799999952316284,-51.0,6.0,6.0,3.0,0.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,27.0,37.0,0.0,1,1
124,13,aspirant,6.0,27.0,4.0,69.0,38.0,38.0,29.0,2.799999952316284,-51.0,6.0,6.0,3.0,0.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,28.0,37.0,0.0,1,1
125,13,aspirant,6.0,28.0,4.0,70.0,38.0,38.0,30.0,2.799999952316284,-51.0,6.0,6.0,3.0,0.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,28.0,38.0,0.0,1,1
126,13,aspirant,6.0,28.0,4.0,71.0,39.0,39.0,30.0,2.799999952316284,-52.0,6.0,6.0,4.0,0.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,29.0,38.0,0.0,1,1
127,13,aspirant,6.0,28.0,4.0,72.0,40.0,40.0,30.0,2.799999952316284,-52.0,6.0,6.0,4.0,0.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,29.0,38.0,0.0,1,1
128,13,aspirant,6.0,28.0,4.0,73.0,41.0,41.0,30.0,2.799999952316284,-52.0,6.0,6.0,4.0,0.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,30.0,39.0,0.0,1,1
129,13,aspirant,6.0,29.0,4.0,74.0,42.0,42.0,30.0,2.799999952316284,-53.0,6.0,6.0,4.0,0.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,30.0,40.0,0.0,1,1
130,13,aspirant,6.0,29.0,4.0,74.0,43.0,43.0,30.0,2.799999952316284,-53.0,6.0,6.0,4.0,0.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,31.0,40.0,0.0,1,1
131,14,aspirant,6.0,29.0,4.0,76.0,44.0,44.0,30.0,2.799999952316284,-53.0,6.0,7.0,5.0,0.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,31.0,42.0,0.0,1,1
132,14,aspirant,6.0,29.0,4.0,76.0,45.0,45.0,30.0,2.799999952316284,-54.0,6.0,7.0,5.0,0.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,32.0,42.0,0.0,1,1
133,14,aspirant,6.0,30.0,4.0,78.0,46.0,46.0,30.0,2.799999952316284,-54.0,6.0,7.0,5.0,0.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,32.0,42.0,0.0,1,1
134,14,aspirant,6.0,30.0,4.0,78.0,47.0,47.0,30.0,2.799999952316284,-54.0,6.0,7.0,6.0,0.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,33.0,43.0,0.0,1,1
135,14,aspirant,7.0,31.0,4.0,78.0,48.0,48.0,31.0,2.799999952316284,-55.0,7.0,7.0,6.0,0.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,33.0,43.0,0.0,1,1
136,14,aspirant,7.0,31.0,4.0,80.0,50.0,50.0,31.0,2.799999952316284,-55.0,7.0,7.0,6.0,0.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,34.0,45.0,0.0,1,1
137,14,aspirant,7.0,31.0,4.0,80.0,51.0,51.0,31.0,2.799999952316284,-55.0,7.0,7.0,7.0,0.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,34.0,45.0,0.0,1,1
138,14,aspirant,7.0,32.0,5.0,82.0,52.0,52.0,32.0,3.5,-56.0,7.0,7.0,7.0,0.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,35.0,46.0,0.0,1,1
139,14,aspirant,7.0,32.0,5.0,82.0,53.0,53.0,32.0,3.5,-56.0,7.0,7.0,8.0,0.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,35.0,46.0,0.0,1,1
140,14,aspirant,7.0,32.0,5.0,84.0,54.0,54.0,32.0,3.5,-56.0,7.0,7.0,8.0,0.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,36.0,47.0,0.0,1,1
141,15,aspirant,7.0,32.0,5.0,87.0,55.0,55.0,32.0,3.5,-57.0,7.0,7.0,8.0,0.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,36.0,48.0,0.0,1,1
142,15,aspirant,7.0,33.0,5.0,89.0,56.0,56.0,33.0,3.5,-57.0,7.0,7.0,9.0,0.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,37.0,48.0,0.0,1,1
143,15,aspirant,7.0,34.0,5.0,90.0,58.0,58.0,33.0,3.5,-57.0,7.0,7.0,10.0,0.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,37.0,49.0,0.0,1,1
144,15,aspirant,7.0,34.0,5.0,93.0,59.0,59.0,33.0,3.5,-58.0,7.0,7.0,10.0,0.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,38.0,50.0,0.0,1,1
145,15,aspirant,7.0,34.0,5.0,95.0,60.0,60.0,33.0,3.5,-58.0,7.0,7.0,10.0,0.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,38.0,50.0,0.0,1,1
146,15,aspirant,8.0,35.0,5.0,98.0,61.0,61.0,34.0,3.5,-58.0,8.0,7.0,11.0,0.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,39.0,51.0,0.0,1,1
147,15,aspirant,8.0,35.0,5.0,101.0,62.0,62.0,34.0,3.5,-59.0,8.0,7.0,12.0,0.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,39.0,52.0,0.0,1,1
148,15,aspirant,8.0,35.0,5.0,103.0,64.0,64.0,34.0,3.5,-59.0,8.0,7.0,12.0,0.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,41.0,53.0,0.0,1,1
149,15,aspirant,8.0,35.0,5.0,106.0,65.0,65.0,34.0,3.5,-59.0,8.0,7.0,13.0,0.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,41.0,53.0,0.0,1,1
150,15,aspirant,8.0,36.0,5.0,108.0,66.0,66.0,34.0,3.5,-60.0,8.0,8.0,14.0,0.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,42.0,54.0,0.0,1,1
151,16,aspirant,8.0,36.0,5.0,108.0,66.0,66.0,34.0,3.5,-60.0,8.0,8.0,14.0,0.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,42.0,54.0,0.0,1,1
152,16,aspirant,8.0,37.0,5.0,110.0,67.0,67.0,34.0,3.5,-60.0,8.0,8.0,14.0,0.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,42.0,54.0,0.0,1,1
153,16,aspirant,8.0,37.0,5.0,111.0,67.0,67.0,34.0,3.5,-60.0,8.0,8.0,14.0,0.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,42.0,54.0,0.0,1,1
154,16,aspirant,8.0,38.0,5.0,112.0,68.0,68.0,34.0,3.5,-60.0,8.0,8.0,14.0,0.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,42.0,54.0,0.0,1,1
155,16,aspirant,8.0,38.0,5.0,113.0,68.0,68.0,34.0,3.5,-60.0,8.0,8.0,14.0,0.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,42.0,54.0,0.0,1,1
156,16,aspirant,8.0,39.0,5.0,114.0,69.0,69.0,35.0,3.5,-60.0,8.0,8.0,14.0,0.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,43.0,54.0,0.0,1,1
157,16,aspirant,8.0,39.0,5.0,115.0,69.0,69.0,35.0,3.5,-60.0,8.0,8.0,14.0,0.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,43.0,54.0,0.0,1,1
158,16,aspirant,8.0,40.0,5.0,116.0,69.0,69.0,35.0,3.5,-60.0,8.0,8.0,14.0,0.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,43.0,54.0,0.0,1,1
159,16,aspirant,8.0,40.0,5.0,117.0,70.0,70.0,35.0,3.5,-60.0,8.0,8.0,14.0,0.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,43.0,54.0,0.0,1,1
160,16,aspirant,8.0,41.0,5.0,118.0,70.0,70.0,35.0,3.5,-60.0,8.0,8.0,14.0,0.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,43.0,54.0,0.0,1,1
161,17,aspirant,8.0,41.0,6.0,119.0,70.0,70.0,36.0,3.5,-60.0,8.0,8.0,14.0,0.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,44.0,54.0,0.0,1,1
162,17,aspirant,8.0,42.0,6.0,120.0,71.0,71.0,36.0,3.5,-60.0,8.0,8.0,14.0,0.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,44.0,54.0,0.0,1,1
163,17,aspirant,8.0,42.0,6.0,121.0,71.0,71.0,36.0,3.5,-60.0,8.0,8.0,14.0,0.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,44.0,54.0,0.0,1,1
164,17,aspirant,8.0,43.0,6.0,122.0,71.0,71.0,36.0,3.5,-60.0,8.0,8.0,14.0,0.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,44.0,54.0,0.0,1,1
165,17,aspirant,8.0,43.0,6.0,123.0,72.0,72.0,36.0,3.5,-60.0,8.0,8.0,14.0,0.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,44.0,54.0,0.0,1,1
166,17,aspirant,8.0,44.0,6.0,124.0,72.0,72.0,37.0,3.5,-60.0,8.0,8.0,14.0,0.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,45.0,54.0,0.0,1,1
167,17,aspirant,8.0,44.0,6.0,125.0,72.0,72.0,37.0,3.5,-60.0,8.0,8.0,14.0,0.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,45.0,54.0,0.0,1,1
168,17,aspirant,8.0,45.0,6.0,126.0,73.0,73.0,37.0,3.5,-60.0,8.0,8.0,14.0,0.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,45.0,54.0,0.0,1,1
169,17,aspirant,8.0,45.0,6.0,127.0,74.0,74.0,37.0,3.5,-60.0,8.0,8.0,14.0,0.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,45.0,54.0,0.0,1,1
170,17,aspirant,8.0,45.0,6.0,128.0,75.0,75.0,37.0,3.5,-60.0,8.0,8.0,14.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,45.0,54.0,0.0,1,1
171,18,aspirant,9.0,46.0,6.0,164.0,80.0,80.0,38.0,4.199999809265137,-60.0,9.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,56.0,57.0,0.0,1,1
172,18,aspirant,9.0,46.0,6.0,171.0,81.0,81.0,38.0,4.199999809265137,-60.0,9.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,57.0,57.0,0.0,1,1
173,18,aspirant,9.0,46.0,6.0,178.0,82.0,82.0,39.0,4.199999809265137,-60.0,9.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,58.0,57.0,0.0,1,1
174,18,aspirant,9.0,46.0,6.0,185.0,83.0,83.0,39.0,4.199999809265137,-60.0,9.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,59.0,57.0,0.0,1,1
175,18,aspirant,9.0,47.0,6.0,192.0,84.0,84.0,40.0,4.199999809265137,-60.0,9.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,60.0,60.0,0.0,1,1
176,18,aspirant,9.0,47.0,6.0,199.0,85.0,85.0,40.0,4.199999809265137,-60.0,9.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,71.0,60.0,0.0,1,1
177,18,aspirant,9.0,47.0,6.0,206.0,86.0,86.0,41.0,4.199999809265137,-60.0,9.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,72.0,60.0,0.0,1,1
178,18,aspirant,9.0,47.0,6.0,213.0,87.0,87.0,41.0,4.199999809265137,-60.0,9.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,73.0,60.0,0.0,1,1
179,18,aspirant,9.0,47.0,6.0,220.0,88.0,88.0,42.0,4.199999809265137,-60.0,9.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,74.0,60.0,0.0,1,1
180,18,aspirant,9.0,47.0,6.0,227.0,89.0,89.0,42.0,4.199999809265137,-60.0,9.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,75.0,60.0,5.0,1,1
181,19,aspirant,10.0,48.0,6.0,247.0,90.0,90.0,43.0,4.199999809265137,-60.0,10.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,86.0,63.0,5.0,1,1
182,19,aspirant,10.0,48.0,6.0,255.0,91.0,91.0,43.0,4.199999809265137,-60.0,10.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,87.0,63.0,5.0,1,1
183,19,aspirant,10.0,48.0,6.0,263.0,92.0,92.0,44.0,4.199999809265137,-60.0,10.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,88.0,63.0,5.0,1,1
184,19,aspirant,10.0,48.0,6.0,271.0,93.0,93.0,44.0,4.199999809265137,-60.0,10.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,89.0,63.0,5.0,1,1
185,19,aspirant,10.0,48.0,6.0,279.0,94.0,94.0,45.0,4.199999809265137,-60.0,10.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,90.0,66.0,5.0,1,1
186,19,aspirant,10.0,49.0,6.0,288.0,95.0,95.0,45.0,4.199999809265137,-60.0,10.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,101.0,66.0,5.0,1,1
187,19,aspirant,10.0,49.0,6.0,297.0,96.0,96.0,46.0,4.199999809265137,-60.0,10.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,102.0,66.0,5.0,1,1
188,19,aspirant,10.0,49.0,6.0,306.0,97.0,97.0,46.0,4.199999809265137,-60.0,10.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,103.0,66.0,5.0,1,1
189,19,aspirant,10.0,49.0,6.0,315.0,98.0,98.0,47.0,4.199999809265137,-60.0,10.0,9.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,104.0,66.0,5.0,1,1
190,19,aspirant,10.0,49.0,6.0,324.0,99.0,99.0,47.0,5.0,-60.0,10.0,10.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,105.0,66.0,5.0,1,1
191,20,aspirant,11.0,50.0,6.0,346.0,100.0,100.0,48.0,5.0,-60.0,11.0,10.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,111.0,69.0,10.0,1,1
192,20,aspirant,11.0,50.0,6.0,356.0,101.0,101.0,48.0,5.0,-60.0,11.0,10.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,112.0,69.0,10.0,1,1
193,20,aspirant,11.0,50.0,6.0,366.0,102.0,102.0,49.0,5.0,-60.0,11.0,10.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,113.0,69.0,10.0,1,1
194,20,aspirant,11.0,50.0,6.0,376.0,103.0,103.0,49.0,5.0,-60.0,11.0,10.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,114.0,69.0,10.0,1,1
195,20,aspirant,11.0,50.0,6.0,386.0,104.0,104.0,50.0,5.0,-60.0,11.0,10.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,115.0,72.0,10.0,1,1
196,20,aspirant,11.0,50.0,6.0,396.0,105.0,105.0,50.0,5.0,-60.0,11.0,10.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,122.0,72.0,10.0,1,1
197,20,aspirant,11.0,50.0,6.0,406.0,106.0,106.0,51.0,5.0,-60.0,11.0,10.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,123.0,72.0,10.0,1,1
198,20,aspirant,11.0,50.0,6.0,416.0,107.0,107.0,51.0,5.0,-60.0,11.0,10.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,124.0,72.0,10.0,1,1
199,20,aspirant,11.0,50.0,6.0,427.0,108.0,108.0,52.0,5.0,-60.0,11.0,10.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,125.0,72.0,10.0,1,1
200,20,aspirant,11.0,50.0,6.0,438.0,110.0,110.0,52.0,5.0,-60.0,11.0,10.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,130.0,72.0,10.0,1,1
1,1,challenger,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0
2,1,challenger,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0
3,1,challenger,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,0.0,0,0
4,1,challenger,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,0.0,0,0
5,1,challenger,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5.0,0.0,0.0,0,0
6,1,challenger,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5.0,0.0,0.0,0,0
7,1,challenger,0.0,1.0,0.0,71.0,0.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5.0,0.0,0.0,0,0
8,1,challenger,0.0,1.0,0.0,71.0,0.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5.0,0.0,0.0,0,0
9,1,challenger,0.0,1.0,0.0,71.0,0.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5.0,0.0,0.0,0,0
10,1,challenger,0.0,1.0,0.0,71.0,0.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,5.0,0.0,0.0,0,0
11,2,challenger,0.0,1.0,0.0,71.0,0.0,0.0,1.0,0.0,-25.0,0.0,1.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,0.0,0,0
12,2,challenger,0.0,1.0,0.0,71.0,0.0,0.0,1.0,0.0,-25.0,0.0,1.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,0.0,0,0
13,2,challenger,0.0,2.0,0.0,71.0,0.0,0.0,2.0,0.0,-25.0,0.0,1.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,0.0,0,0
14,2,challenger,0.0,2.0,0.0,72.0,0.0,0.0,2.0,0.0,-25.0,0.0,1.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,0.0,0,0
15,2,challenger,0.0,2.0,0.0,72.0,0.0,0.0,2.0,0.0,-25.0,0.0,1.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,0.0,0,0
16,2,challenger,0.0,2.0,0.0,72.0,0.0,0.0,2.0,0.0,-25.0,0.0,1.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,5.0,0.0,0.0,0,0
17,2,challenger,0.0,2.0,0.0,72.0,0.0,0.0,2.0,0.0,-25.0,0.0,1.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,5.0,0.0,0.0,0,0
18,2,challenger,1.0,2.0,0.0,72.0,0.0,0.0,2.0,0.0,-25.0,1.0,1.0,0.0,0.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,5.0,0.0,0.0,0,0
19,2,challenger,1.0,2.0,0.0,72.0,0.0,0.0,2.0,0.0,-25.0,1.0,1.0,0.0,0.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,5.0,0.0,0.0,0,0
20,2,challenger,1.0,2.0,0.0,72.0,0.0,0.0,2.0,0.0,-25.0,1.0,1.0,0.0,0.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,5.0,0.0,0.0,0,0
21,3,challenger,1.0,2.0,0.0,72.0,0.0,0.0,2.0,0.0,-25.0,1.0,1.0,0.0,0.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,5.0,0.0,0.0,0,0
22,3,challenger,1.0,2.0,0.0,72.0,0.0,0.0,2.0,0.0,-25.0,1.0,1.0,0.0,0.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,5.0,0.0,0.0,0,0
23,3,challenger,1.0,3.0,0.0,72.0,0.0,0.0,2.0,0.0,-25.0,1.0,1.0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,5.0,0.0,0.0,0,0
24,3,challenger,1.0,3.0,0.0,73.0,0.0,0.0,2.0,0.0,-25.0,1.0,1.0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,5.0,0.0,0.0,0,0
25,3,challenger,1.0,3.0,0.0,74.0,0.0,0.0,2.0,0.0,-25.0,1.0,1.0,0.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,5.0,0.0,0.0,0,0
26,3,challenger,2.0,3.0,0.0,74.0,0.0,0.0,2.0,0.0,-25.0,2.0,1.0,0.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,5.0,0.0,0.0,0,0
27,3,challenger,2.0,4.0,0.0,74.0,0.0,0.0,3.0,0.0,-25.0,2.0,1.0,0.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,5.0,0.0,0.0,0,0
28,3,challenger,2.0,4.0,0.0,74.0,0.0,0.0,3.0,0.0,-25.0,2.0,1.0,0.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,5.0,0.0,0.0,0,0
29,3,challenger,2.0,4.0,0.0,74.0,0.0,0.0,3.0,0.0,-25.0,2.0,2.0,0.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,5.0,0.0,0.0,0,0
30,3,challenger,2.0,4.0,0.0,74.0,0.0,0.0,3.0,0.0,-25.0,2.0,2.0,0.0,0.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,6.0,0.0,0.0,0,0
31,4,challenger,2.0,5.0,0.0,74.0,1.0,1.0,4.0,0.0,-25.0,2.0,2.0,0.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,6.0,0.0,0.0,0,0
32,4,challenger,2.0,5.0,0.0,74.0,1.0,1.0,4.0,0.0,-25.0,2.0,2.0,0.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,6.0,0.0,0.0,0,0
33,4,challenger,2.0,5.0,0.0,75.0,1.0,1.0,4.0,0.0,-25.0,2.0,2.0,0.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,6.0,1.0,0.0,0,0
