chain_id,tick_idx,t_s,frame,gap_frames,magnitude_hp,implied_rate_hp_per_s,basis
31,2,820.1833,49211,6,29,290.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
31,3,820.2667,49216,5,26,260.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
31,4,820.3667,49222,6,27,270.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
31,5,820.4500,49227,5,44,440.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
32,0,820.9833,49259,,26,260.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
32,1,821.0667,49264,5,67,670.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
32,2,821.1667,49270,6,64,640.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
32,3,821.2833,49277,7,67,670.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
32,4,821.4000,49284,7,67,670.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
33,0,821.6000,49296,,67,670.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
33,1,821.6833,49301,5,3183,31830.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
33,2,821.8000,49308,7,50,500.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
33,3,821.8833,49313,5,49,490.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
33,4,821.9833,49319,6,50,500.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
34,0,825.5833,49535,,2294,22940.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
34,1,825.6833,49541,6,25,250.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
34,2,825.7833,49547,6,21,210.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
34,3,825.8833,49553,6,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
34,4,826.0000,49560,7,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
34,5,826.1000,49566,6,21,210.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
34,6,826.2000,49572,6,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
34,7,826.2833,49577,5,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
34,8,826.3833,49583,6,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
34,9,826.4833,49589,6,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
34,10,826.5833,49595,6,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
35,0,828.1833,49691,,10,100.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
35,1,828.3000,49698,7,46,460.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
35,2,828.4000,49704,6,48,480.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
35,3,828.5167,49711,7,48,480.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
36,0,828.8167,49729,,26,260.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
36,1,828.9333,49736,7,29,290.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
36,2,829.0333,49742,6,59,590.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
36,3,829.1500,49749,7,59,590.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
36,4,829.2500,49755,6,59,590.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
36,5,829.3333,49760,5,59,590.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
36,6,829.4333,49766,6,23,230.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
37,0,829.9667,49798,,9,90.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
37,1,830.0667,49804,6,20,200.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
37,2,830.1500,49809,5,20,200.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
37,3,830.2500,49815,6,20,200.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
37,4,830.3667,49822,7,62,620.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
37,5,830.4667,49828,6,78,780.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
37,6,830.5500,49833,5,1239,12390.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
37,7,830.6500,49839,6,381,3810.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
38,0,830.6667,49840,,84,840.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
38,1,830.7500,49845,5,83,830.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
38,2,830.8667,49852,7,84,840.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
38,3,830.9500,49857,5,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
39,0,831.1667,49870,,36,360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
39,1,831.2500,49875,5,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
39,2,831.3500,49881,6,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
39,3,831.4667,49888,7,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
39,4,831.5667,49894,6,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
39,5,831.6833,49901,7,22,220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
40,0,832.2000,49932,,8,80.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
40,1,832.3167,49939,7,2250,22500.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
40,2,832.4000,49944,5,93,930.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
40,3,832.5000,49950,6,55,550.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
41,0,842.2500,50535,,397,3970.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
41,1,842.3500,50541,6,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
41,2,842.4500,50547,6,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
41,3,842.5500,50553,6,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
41,4,842.6667,50560,7,45,450.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
41,5,842.7667,50566,6,45,450.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
41,6,842.8667,50572,6,45,450.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
41,7,842.9667,50578,6,45,450.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
41,8,843.0667,50584,6,45,450.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
41,9,843.1667,50590,6,45,450.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
41,10,843.2667,50596,6,45,450.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
41,11,843.3667,50602,6,45,450.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
42,0,852.6167,51157,,42,420.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
42,1,852.7167,51163,6,42,420.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
42,2,852.8167,51169,6,42,420.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
42,3,852.9167,51175,6,775,7750.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
43,0,853.9333,51236,,69,690.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
43,1,854.0333,51242,6,63,630.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
43,2,854.1333,51248,6,63,630.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
43,3,854.2333,51254,6,63,630.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
43,4,854.3333,51260,6,69,690.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
43,5,854.4333,51266,6,69,690.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
43,6,854.5333,51272,6,69,690.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
44,0,859.2167,51553,,10,100.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
44,1,859.3333,51560,7,3035,30350.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
44,2,859.4333,51566,6,10,100.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
44,3,859.5333,51572,6,10,100.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
44,4,859.6500,51579,7,10,100.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
44,5,859.7500,51585,6,40,400.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
44,6,859.8500,51591,6,40,400.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
44,7,859.9500,51597,6,40,400.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
