[2026-05-22T10:07:00Z] === Track H — Met Museum Open Access API ===
[2026-05-22T10:07:00Z] DB:      /Users/admin/Games/reincarnated-loadout/data/telemetry.db
[2026-05-22T10:07:00Z] Summary: /Users/admin/Games/reincarnated-collaboration/agentic_orchestration/legolas/research/weapon-library-import-2026-05-22/summaries/track-H-met-museum-summary.json
[2026-05-22T10:07:00Z] Step 1: fetching department object list from https://collectionapi.metmuseum.org/public/collection/v1/objects?departmentIds=4
[2026-05-22T10:07:00Z]   API reports total=13753, objectIDs list length=13753
[2026-05-22T10:07:00Z] Step 2: fetching 13753 objects at ≤5 concurrent threads
[2026-05-22T10:07:00Z]   Expected wall time: ~46–55 minutes
[2026-05-22T10:08:01Z]   Progress: 103/13753 (0.7%) | inserted=0 images=0 | 404s=0 errors=15 | rate=1.7/s ETA=135.3min
[2026-05-22T13:08:48Z]   Progress: 7321/13753 (53.2%) | inserted=3813 images=6247 | 404s=0 errors=3322 | rate=0.7/s ETA=159.7min
[2026-05-22T13:09:49Z]   Progress: 7363/13753 (53.5%) | inserted=3913 images=6421 | 404s=0 errors=3340 | rate=0.7/s ETA=158.7min
[2026-05-22T13:10:49Z]   Progress: 7408/13753 (53.9%) | inserted=3913 images=6421 | 404s=0 errors=3360 | rate=0.7/s ETA=157.4min
[2026-05-22T13:11:49Z]   Progress: 7449/13753 (54.2%) | inserted=3913 images=6421 | 404s=0 errors=3380 | rate=0.7/s ETA=156.4min
[2026-05-22T13:13:01Z]   Progress: 7493/13753 (54.5%) | inserted=3913 images=6421 | 404s=0 errors=3398 | rate=0.7/s ETA=155.4min
[2026-05-22T13:14:02Z]   Progress: 7531/13753 (54.8%) | inserted=4013 images=6558 | 404s=0 errors=3418 | rate=0.7/s ETA=154.5min
[2026-05-22T13:15:02Z]   Progress: 7561/13753 (55.0%) | inserted=4013 images=6558 | 404s=0 errors=3437 | rate=0.7/s ETA=154.0min
[2026-05-22T13:16:13Z]   Progress: 7606/13753 (55.3%) | inserted=4013 images=6558 | 404s=0 errors=3450 | rate=0.7/s ETA=152.9min
[2026-05-22T13:17:13Z]   Progress: 7643/13753 (55.6%) | inserted=4013 images=6558 | 404s=0 errors=3470 | rate=0.7/s ETA=152.1min
[2026-05-22T13:18:13Z]   Progress: 7679/13753 (55.8%) | inserted=4013 images=6558 | 404s=0 errors=3491 | rate=0.7/s ETA=151.3min
[2026-05-22T13:19:13Z]   Progress: 7716/13753 (56.1%) | inserted=4113 images=6724 | 404s=0 errors=3508 | rate=0.7/s ETA=150.4min
[2026-05-22T13:20:27Z]   Progress: 7756/13753 (56.4%) | inserted=4113 images=6724 | 404s=0 errors=3533 | rate=0.7/s ETA=149.6min
[2026-05-22T13:21:42Z]   Progress: 7800/13753 (56.7%) | inserted=4113 images=6724 | 404s=0 errors=3558 | rate=0.7/s ETA=148.6min
[2026-05-22T13:22:52Z]   Progress: 7845/13753 (57.0%) | inserted=4113 images=6724 | 404s=0 errors=3578 | rate=0.7/s ETA=147.5min
[2026-05-22T13:23:55Z]   Progress: 7875/13753 (57.3%) | inserted=4113 images=6724 | 404s=0 errors=3598 | rate=0.7/s ETA=147.0min
[2026-05-22T13:24:57Z]   Progress: 7916/13753 (57.6%) | inserted=4113 images=6724 | 404s=0 errors=3622 | rate=0.7/s ETA=146.0min
[2026-05-22T13:26:10Z]   Progress: 7955/13753 (57.8%) | inserted=4213 images=6743 | 404s=0 errors=3643 | rate=0.7/s ETA=145.2min
[2026-05-22T13:27:12Z]   Progress: 7995/13753 (58.1%) | inserted=4213 images=6743 | 404s=0 errors=3666 | rate=0.7/s ETA=144.2min
[2026-05-22T13:28:12Z]   Progress: 8031/13753 (58.4%) | inserted=4213 images=6743 | 404s=0 errors=3686 | rate=0.7/s ETA=143.4min
[2026-05-22T13:29:12Z]   Progress: 8070/13753 (58.7%) | inserted=4213 images=6743 | 404s=0 errors=3701 | rate=0.7/s ETA=142.4min
[2026-05-22T13:30:12Z]   Progress: 8109/13753 (59.0%) | inserted=4213 images=6743 | 404s=0 errors=3721 | rate=0.7/s ETA=141.4min
[2026-05-22T13:31:16Z]   Progress: 8142/13753 (59.2%) | inserted=4313 images=6832 | 404s=0 errors=3737 | rate=0.7/s ETA=140.8min
[2026-05-22T13:32:16Z]   Progress: 8184/13753 (59.5%) | inserted=4313 images=6832 | 404s=0 errors=3756 | rate=0.7/s ETA=139.7min
[2026-05-22T13:33:30Z]   Progress: 8229/13753 (59.8%) | inserted=4313 images=6832 | 404s=0 errors=3781 | rate=0.7/s ETA=138.6min
[2026-05-22T13:34:31Z]   Progress: 8266/13753 (60.1%) | inserted=4313 images=6832 | 404s=0 errors=3801 | rate=0.7/s ETA=137.7min
[2026-05-22T13:35:31Z]   Progress: 8309/13753 (60.4%) | inserted=4313 images=6832 | 404s=0 errors=3821 | rate=0.7/s ETA=136.6min
[2026-05-22T13:36:31Z]   Progress: 8351/13753 (60.7%) | inserted=4413 images=6916 | 404s=0 errors=3841 | rate=0.7/s ETA=135.5min
[2026-05-22T13:37:31Z]   Progress: 8387/13753 (61.0%) | inserted=4413 images=6916 | 404s=0 errors=3861 | rate=0.7/s ETA=134.7min
[2026-05-22T13:38:31Z]   Progress: 8431/13753 (61.3%) | inserted=4413 images=6916 | 404s=0 errors=3881 | rate=0.7/s ETA=133.5min
[2026-05-22T13:39:31Z]   Progress: 8468/13753 (61.6%) | inserted=4413 images=6916 | 404s=0 errors=3896 | rate=0.7/s ETA=132.6min
[2026-05-22T13:40:32Z]   Progress: 8506/13753 (61.8%) | inserted=4413 images=6916 | 404s=0 errors=3911 | rate=0.7/s ETA=131.7min
[2026-05-22T13:41:44Z]   Progress: 8550/13753 (62.2%) | inserted=4513 images=7012 | 404s=0 errors=3927 | rate=0.7/s ETA=130.7min
[2026-05-22T13:42:45Z]   Progress: 8589/13753 (62.5%) | inserted=4513 images=7012 | 404s=0 errors=3947 | rate=0.7/s ETA=129.7min
[2026-05-22T13:43:45Z]   Progress: 8624/13753 (62.7%) | inserted=4513 images=7012 | 404s=0 errors=3967 | rate=0.7/s ETA=128.9min
[2026-05-22T13:44:45Z]   Progress: 8659/13753 (63.0%) | inserted=4513 images=7012 | 404s=0 errors=3987 | rate=0.7/s ETA=128.1min
[2026-05-22T13:45:45Z]   Progress: 8696/13753 (63.2%) | inserted=4513 images=7012 | 404s=0 errors=4007 | rate=0.7/s ETA=127.2min
[2026-05-22T13:46:45Z]   Progress: 8733/13753 (63.5%) | inserted=4613 images=7134 | 404s=0 errors=4027 | rate=0.7/s ETA=126.3min
[2026-05-22T13:47:45Z]   Progress: 8768/13753 (63.8%) | inserted=4613 images=7134 | 404s=0 errors=4042 | rate=0.7/s ETA=125.5min
[2026-05-22T13:48:53Z]   Progress: 8809/13753 (64.1%) | inserted=4613 images=7134 | 404s=0 errors=4056 | rate=0.7/s ETA=124.5min
[2026-05-22T13:50:03Z]   Progress: 8852/13753 (64.4%) | inserted=4613 images=7134 | 404s=0 errors=4072 | rate=0.7/s ETA=123.5min
[2026-05-22T13:51:04Z]   Progress: 8892/13753 (64.7%) | inserted=4713 images=7362 | 404s=0 errors=4092 | rate=0.7/s ETA=122.5min
[2026-05-22T13:52:04Z]   Progress: 8928/13753 (64.9%) | inserted=4713 images=7362 | 404s=0 errors=4109 | rate=0.7/s ETA=121.6min
[2026-05-22T13:53:05Z]   Progress: 8962/13753 (65.2%) | inserted=4713 images=7362 | 404s=0 errors=4124 | rate=0.7/s ETA=120.9min
[2026-05-22T13:54:16Z]   Progress: 9002/13753 (65.5%) | inserted=4713 images=7362 | 404s=0 errors=4144 | rate=0.7/s ETA=119.9min
[2026-05-22T13:55:18Z]   Progress: 9035/13753 (65.7%) | inserted=4713 images=7362 | 404s=0 errors=4161 | rate=0.7/s ETA=119.2min
[2026-05-22T13:56:18Z]   Progress: 9075/13753 (66.0%) | inserted=4713 images=7362 | 404s=0 errors=4177 | rate=0.7/s ETA=118.2min
[2026-05-22T13:57:31Z]   Progress: 9125/13753 (66.3%) | inserted=4813 images=7573 | 404s=0 errors=4197 | rate=0.7/s ETA=116.9min
[2026-05-22T13:58:32Z]   Progress: 9160/13753 (66.6%) | inserted=4813 images=7573 | 404s=0 errors=4217 | rate=0.7/s ETA=116.1min
[2026-05-22T13:59:35Z]   Progress: 9201/13753 (66.9%) | inserted=4813 images=7573 | 404s=0 errors=4227 | rate=0.7/s ETA=115.1min
[2026-05-22T14:00:35Z]   Progress: 9240/13753 (67.2%) | inserted=4813 images=7573 | 404s=0 errors=4241 | rate=0.7/s ETA=114.1min
[2026-05-22T14:01:48Z]   Progress: 9283/13753 (67.5%) | inserted=4913 images=7765 | 404s=0 errors=4258 | rate=0.7/s ETA=113.1min
[2026-05-22T14:02:48Z]   Progress: 9352/13753 (68.0%) | inserted=4913 images=7765 | 404s=0 errors=4273 | rate=0.7/s ETA=111.0min
[2026-05-22T14:04:02Z]   Progress: 9386/13753 (68.2%) | inserted=4913 images=7765 | 404s=0 errors=4292 | rate=0.7/s ETA=110.3min
[2026-05-22T14:05:06Z]   Progress: 9428/13753 (68.6%) | inserted=5013 images=7919 | 404s=0 errors=4309 | rate=0.7/s ETA=109.2min
[2026-05-22T14:06:13Z]   Progress: 9466/13753 (68.8%) | inserted=5013 images=7919 | 404s=0 errors=4330 | rate=0.7/s ETA=108.3min
[2026-05-22T14:07:13Z]   Progress: 9503/13753 (69.1%) | inserted=5013 images=7919 | 404s=0 errors=4351 | rate=0.7/s ETA=107.4min
[2026-05-22T14:08:13Z]   Progress: 9538/13753 (69.4%) | inserted=5013 images=7919 | 404s=0 errors=4370 | rate=0.7/s ETA=106.6min
[2026-05-22T14:09:14Z]   Progress: 9572/13753 (69.6%) | inserted=5013 images=7919 | 404s=0 errors=4390 | rate=0.7/s ETA=105.8min
[2026-05-22T14:10:15Z]   Progress: 9618/13753 (69.9%) | inserted=5113 images=7980 | 404s=0 errors=4407 | rate=0.7/s ETA=104.6min
[2026-05-22T14:11:27Z]   Progress: 9662/13753 (70.3%) | inserted=5113 images=7980 | 404s=0 errors=4430 | rate=0.7/s ETA=103.5min
[2026-05-22T14:12:29Z]   Progress: 9699/13753 (70.5%) | inserted=5113 images=7980 | 404s=0 errors=4451 | rate=0.7/s ETA=102.6min
[2026-05-22T14:13:46Z]   Progress: 9718/13753 (70.7%) | inserted=5113 images=7980 | 404s=0 errors=4465 | rate=0.7/s ETA=102.5min
[2026-05-22T14:14:46Z]   Progress: 9806/13753 (71.3%) | inserted=5213 images=8193 | 404s=0 errors=4470 | rate=0.7/s ETA=99.7min
[2026-05-22T14:15:56Z]   Progress: 9842/13753 (71.6%) | inserted=5213 images=8193 | 404s=0 errors=4494 | rate=0.7/s ETA=98.9min
[2026-05-22T14:16:56Z]   Progress: 9882/13753 (71.9%) | inserted=5213 images=8193 | 404s=0 errors=4503 | rate=0.7/s ETA=97.9min
[2026-05-22T14:18:01Z]   Progress: 9921/13753 (72.1%) | inserted=5313 images=8354 | 404s=0 errors=4514 | rate=0.7/s ETA=97.0min
[2026-05-22T14:19:10Z]   Progress: 9958/13753 (72.4%) | inserted=5313 images=8354 | 404s=0 errors=4533 | rate=0.7/s ETA=96.1min
[2026-05-22T14:20:10Z]   Progress: 9995/13753 (72.7%) | inserted=5313 images=8354 | 404s=0 errors=4553 | rate=0.7/s ETA=95.2min
[2026-05-22T14:21:11Z]   Progress: 10028/13753 (72.9%) | inserted=5313 images=8354 | 404s=0 errors=4571 | rate=0.7/s ETA=94.4min
[2026-05-22T14:22:11Z]   Progress: 10065/13753 (73.2%) | inserted=5313 images=8354 | 404s=0 errors=4582 | rate=0.7/s ETA=93.5min
[2026-05-22T14:23:11Z]   Progress: 10099/13753 (73.4%) | inserted=5313 images=8354 | 404s=0 errors=4602 | rate=0.7/s ETA=92.7min
[2026-05-22T14:24:14Z]   Progress: 10136/13753 (73.7%) | inserted=5413 images=8591 | 404s=0 errors=4619 | rate=0.7/s ETA=91.8min
[2026-05-22T14:25:22Z]   Progress: 10172/13753 (74.0%) | inserted=5413 images=8591 | 404s=0 errors=4639 | rate=0.7/s ETA=91.0min
[2026-05-22T14:26:23Z]   Progress: 10206/13753 (74.2%) | inserted=5413 images=8591 | 404s=0 errors=4659 | rate=0.7/s ETA=90.1min
[2026-05-22T14:27:24Z]   Progress: 10251/13753 (74.5%) | inserted=5413 images=8591 | 404s=0 errors=4679 | rate=0.7/s ETA=89.0min
[2026-05-22T14:28:24Z]   Progress: 10286/13753 (74.8%) | inserted=5413 images=8591 | 404s=0 errors=4699 | rate=0.7/s ETA=88.1min
[2026-05-22T14:29:37Z]   Progress: 10342/13753 (75.2%) | inserted=5513 images=8723 | 404s=0 errors=4714 | rate=0.7/s ETA=86.6min
[2026-05-22T14:30:57Z]   Progress: 10383/13753 (75.5%) | inserted=5513 images=8723 | 404s=0 errors=4739 | rate=0.7/s ETA=85.7min
[2026-05-22T14:31:59Z]   Progress: 10449/13753 (76.0%) | inserted=5513 images=8723 | 404s=0 errors=4752 | rate=0.7/s ETA=83.8min
[2026-05-22T14:32:59Z]   Progress: 10484/13753 (76.2%) | inserted=5613 images=8937 | 404s=0 errors=4766 | rate=0.7/s ETA=82.9min
[2026-05-22T14:34:08Z]   Progress: 10560/13753 (76.8%) | inserted=5613 images=8937 | 404s=0 errors=4782 | rate=0.7/s ETA=80.8min
[2026-05-22T14:35:09Z]   Progress: 10597/13753 (77.1%) | inserted=5613 images=8937 | 404s=0 errors=4798 | rate=0.7/s ETA=79.9min
[2026-05-22T14:36:22Z]   Progress: 10644/13753 (77.4%) | inserted=5713 images=8942 | 404s=0 errors=4818 | rate=0.7/s ETA=78.7min
[2026-05-22T14:37:24Z]   Progress: 10683/13753 (77.7%) | inserted=5713 images=8942 | 404s=0 errors=4832 | rate=0.7/s ETA=77.7min
[2026-05-22T14:38:25Z]   Progress: 10716/13753 (77.9%) | inserted=5713 images=8942 | 404s=0 errors=4850 | rate=0.7/s ETA=76.9min
[2026-05-22T14:39:26Z]   Progress: 10762/13753 (78.3%) | inserted=5713 images=8942 | 404s=0 errors=4865 | rate=0.7/s ETA=75.7min
[2026-05-22T14:40:39Z]   Progress: 10803/13753 (78.6%) | inserted=5813 images=9049 | 404s=0 errors=4885 | rate=0.7/s ETA=74.7min
[2026-05-22T14:41:53Z]   Progress: 10849/13753 (78.9%) | inserted=5813 images=9049 | 404s=0 errors=4900 | rate=0.7/s ETA=73.6min
[2026-05-22T14:42:53Z]   Progress: 10887/13753 (79.2%) | inserted=5813 images=9049 | 404s=0 errors=4920 | rate=0.7/s ETA=72.6min
[2026-05-22T14:43:53Z]   Progress: 10921/13753 (79.4%) | inserted=5813 images=9049 | 404s=0 errors=4935 | rate=0.7/s ETA=71.8min
[2026-05-22T14:44:58Z]   Progress: 10959/13753 (79.7%) | inserted=5913 images=9183 | 404s=0 errors=4951 | rate=0.7/s ETA=70.9min
[2026-05-22T14:46:02Z]   Progress: 10996/13753 (80.0%) | inserted=5913 images=9183 | 404s=0 errors=4960 | rate=0.7/s ETA=70.0min
[2026-05-22T14:47:06Z]   Progress: 11029/13753 (80.2%) | inserted=5913 images=9183 | 404s=0 errors=4976 | rate=0.7/s ETA=69.2min
[2026-05-22T14:48:08Z]   Progress: 11061/13753 (80.4%) | inserted=5913 images=9183 | 404s=0 errors=4996 | rate=0.7/s ETA=68.4min
[2026-05-22T14:49:08Z]   Progress: 11088/13753 (80.6%) | inserted=5913 images=9183 | 404s=0 errors=5006 | rate=0.7/s ETA=67.8min
[2026-05-22T14:50:09Z]   Progress: 11124/13753 (80.9%) | inserted=5913 images=9183 | 404s=0 errors=5026 | rate=0.7/s ETA=66.9min
[2026-05-22T14:51:10Z]   Progress: 11159/13753 (81.1%) | inserted=6013 images=9349 | 404s=0 errors=5041 | rate=0.7/s ETA=66.1min
[2026-05-22T14:52:11Z]   Progress: 11200/13753 (81.4%) | inserted=6013 images=9349 | 404s=0 errors=5061 | rate=0.7/s ETA=65.0min
[2026-05-22T14:53:11Z]   Progress: 11234/13753 (81.7%) | inserted=6013 images=9349 | 404s=0 errors=5081 | rate=0.7/s ETA=64.2min
[2026-05-22T14:54:17Z]   Progress: 11270/13753 (81.9%) | inserted=6013 images=9349 | 404s=0 errors=5095 | rate=0.7/s ETA=63.3min
[2026-05-22T14:55:21Z]   Progress: 11306/13753 (82.2%) | inserted=6013 images=9349 | 404s=0 errors=5115 | rate=0.7/s ETA=62.4min
[2026-05-22T14:56:22Z]   Progress: 11345/13753 (82.5%) | inserted=6113 images=9431 | 404s=0 errors=5133 | rate=0.7/s ETA=61.4min
[2026-05-22T14:57:24Z]   Progress: 11388/13753 (82.8%) | inserted=6113 images=9431 | 404s=0 errors=5148 | rate=0.7/s ETA=60.3min
[2026-05-22T14:58:29Z]   Progress: 11423/13753 (83.1%) | inserted=6113 images=9431 | 404s=0 errors=5161 | rate=0.7/s ETA=59.5min
[2026-05-22T14:59:39Z]   Progress: 11464/13753 (83.4%) | inserted=6113 images=9431 | 404s=0 errors=5176 | rate=0.7/s ETA=58.4min
[2026-05-22T15:00:52Z]   Progress: 11507/13753 (83.7%) | inserted=6213 images=9529 | 404s=0 errors=5196 | rate=0.7/s ETA=57.4min
[2026-05-22T15:01:52Z]   Progress: 11545/13753 (83.9%) | inserted=6213 images=9529 | 404s=0 errors=5216 | rate=0.7/s ETA=56.4min
[2026-05-22T15:02:53Z]   Progress: 11586/13753 (84.2%) | inserted=6213 images=9529 | 404s=0 errors=5236 | rate=0.7/s ETA=55.3min
[2026-05-22T15:03:53Z]   Progress: 11624/13753 (84.5%) | inserted=6213 images=9529 | 404s=0 errors=5259 | rate=0.7/s ETA=54.4min
[2026-05-22T15:05:05Z]   Progress: 11662/13753 (84.8%) | inserted=6213 images=9529 | 404s=0 errors=5280 | rate=0.7/s ETA=53.4min
[2026-05-22T15:06:06Z]   Progress: 11696/13753 (85.0%) | inserted=6213 images=9529 | 404s=0 errors=5300 | rate=0.7/s ETA=52.6min
[2026-05-22T15:07:07Z]   Progress: 11731/13753 (85.3%) | inserted=6313 images=9595 | 404s=0 errors=5315 | rate=0.7/s ETA=51.7min
[2026-05-22T15:08:07Z]   Progress: 11769/13753 (85.6%) | inserted=6313 images=9595 | 404s=0 errors=5335 | rate=0.7/s ETA=50.8min
[2026-05-22T15:09:07Z]   Progress: 11804/13753 (85.8%) | inserted=6313 images=9595 | 404s=0 errors=5349 | rate=0.7/s ETA=49.9min
[2026-05-22T15:10:08Z]   Progress: 11845/13753 (86.1%) | inserted=6313 images=9595 | 404s=0 errors=5364 | rate=0.7/s ETA=48.8min
[2026-05-22T15:11:13Z]   Progress: 11885/13753 (86.4%) | inserted=6413 images=9782 | 404s=0 errors=5378 | rate=0.7/s ETA=47.8min
[2026-05-22T15:12:13Z]   Progress: 11920/13753 (86.7%) | inserted=6413 images=9782 | 404s=0 errors=5393 | rate=0.7/s ETA=46.9min
[2026-05-22T15:13:14Z]   Progress: 11954/13753 (86.9%) | inserted=6413 images=9782 | 404s=0 errors=5412 | rate=0.7/s ETA=46.1min
[2026-05-22T15:14:14Z]   Progress: 11989/13753 (87.2%) | inserted=6413 images=9782 | 404s=0 errors=5427 | rate=0.7/s ETA=45.2min
[2026-05-22T15:15:15Z]   Progress: 12022/13753 (87.4%) | inserted=6413 images=9782 | 404s=0 errors=5442 | rate=0.7/s ETA=44.4min
[2026-05-22T15:16:27Z]   Progress: 12060/13753 (87.7%) | inserted=6513 images=9943 | 404s=0 errors=5457 | rate=0.6/s ETA=43.4min
[2026-05-22T15:17:39Z]   Progress: 12100/13753 (88.0%) | inserted=6513 images=9943 | 404s=0 errors=5465 | rate=0.6/s ETA=42.4min
[2026-05-22T15:18:50Z]   Progress: 12139/13753 (88.3%) | inserted=6513 images=9943 | 404s=0 errors=5485 | rate=0.6/s ETA=41.5min
[2026-05-22T15:19:56Z]   Progress: 12175/13753 (88.5%) | inserted=6513 images=9943 | 404s=0 errors=5499 | rate=0.6/s ETA=40.6min
[2026-05-22T15:20:58Z]   Progress: 12207/13753 (88.8%) | inserted=6513 images=9943 | 404s=0 errors=5516 | rate=0.6/s ETA=39.8min
[2026-05-22T15:21:59Z]   Progress: 12240/13753 (89.0%) | inserted=6613 images=10150 | 404s=0 errors=5534 | rate=0.6/s ETA=38.9min
[2026-05-22T15:22:59Z]   Progress: 12273/13753 (89.2%) | inserted=6613 images=10150 | 404s=0 errors=5554 | rate=0.6/s ETA=38.1min
[2026-05-22T15:23:59Z]   Progress: 12307/13753 (89.5%) | inserted=6613 images=10150 | 404s=0 errors=5574 | rate=0.6/s ETA=37.2min
[2026-05-22T15:25:04Z]   Progress: 12343/13753 (89.7%) | inserted=6613 images=10150 | 404s=0 errors=5590 | rate=0.6/s ETA=36.3min
[2026-05-22T15:26:08Z]   Progress: 12375/13753 (90.0%) | inserted=6613 images=10150 | 404s=0 errors=5607 | rate=0.6/s ETA=35.5min
[2026-05-22T15:27:16Z]   Progress: 12416/13753 (90.3%) | inserted=6613 images=10150 | 404s=0 errors=5623 | rate=0.6/s ETA=34.5min
[2026-05-22T15:28:16Z]   Progress: 12449/13753 (90.5%) | inserted=6713 images=10277 | 404s=0 errors=5643 | rate=0.6/s ETA=33.7min
[2026-05-22T15:29:19Z]   Progress: 12482/13753 (90.8%) | inserted=6713 images=10277 | 404s=0 errors=5661 | rate=0.6/s ETA=32.8min
[2026-05-22T15:30:21Z]   Progress: 12525/13753 (91.1%) | inserted=6713 images=10277 | 404s=0 errors=5676 | rate=0.6/s ETA=31.7min
[2026-05-22T15:31:34Z]   Progress: 12566/13753 (91.4%) | inserted=6713 images=10277 | 404s=0 errors=5685 | rate=0.6/s ETA=30.7min
[2026-05-22T15:32:34Z]   Progress: 12608/13753 (91.7%) | inserted=6813 images=10396 | 404s=0 errors=5695 | rate=0.6/s ETA=29.6min
[2026-05-22T15:33:39Z]   Progress: 12649/13753 (92.0%) | inserted=6813 images=10396 | 404s=0 errors=5707 | rate=0.6/s ETA=28.5min
[2026-05-22T15:34:39Z]   Progress: 12686/13753 (92.2%) | inserted=6813 images=10396 | 404s=0 errors=5724 | rate=0.6/s ETA=27.6min
[2026-05-22T15:35:40Z]   Progress: 12717/13753 (92.5%) | inserted=6813 images=10396 | 404s=0 errors=5739 | rate=0.6/s ETA=26.8min
[2026-05-22T15:36:51Z]   Progress: 12754/13753 (92.7%) | inserted=6813 images=10396 | 404s=0 errors=5755 | rate=0.6/s ETA=25.8min
[2026-05-22T15:38:05Z]   Progress: 12793/13753 (93.0%) | inserted=6913 images=10669 | 404s=0 errors=5766 | rate=0.6/s ETA=24.8min
[2026-05-22T15:39:18Z]   Progress: 12833/13753 (93.3%) | inserted=6913 images=10669 | 404s=0 errors=5781 | rate=0.6/s ETA=23.8min
[2026-05-22T15:40:18Z]   Progress: 12876/13753 (93.6%) | inserted=6913 images=10669 | 404s=0 errors=5801 | rate=0.6/s ETA=22.7min
[2026-05-22T15:41:20Z]   Progress: 12915/13753 (93.9%) | inserted=7013 images=10953 | 404s=0 errors=5813 | rate=0.6/s ETA=21.7min
[2026-05-22T15:42:20Z]   Progress: 12950/13753 (94.2%) | inserted=7013 images=10953 | 404s=0 errors=5831 | rate=0.6/s ETA=20.8min
[2026-05-22T15:43:25Z]   Progress: 12984/13753 (94.4%) | inserted=7013 images=10953 | 404s=0 errors=5848 | rate=0.6/s ETA=19.9min
[2026-05-22T15:44:25Z]   Progress: 13018/13753 (94.7%) | inserted=7013 images=10953 | 404s=0 errors=5864 | rate=0.6/s ETA=19.1min
[2026-05-22T15:45:26Z]   Progress: 13053/13753 (94.9%) | inserted=7013 images=10953 | 404s=0 errors=5881 | rate=0.6/s ETA=18.1min
[2026-05-22T15:46:29Z]   Progress: 13086/13753 (95.2%) | inserted=7013 images=10953 | 404s=0 errors=5899 | rate=0.6/s ETA=17.3min
[2026-05-22T15:47:35Z]   Progress: 13121/13753 (95.4%) | inserted=7113 images=11413 | 404s=0 errors=5916 | rate=0.6/s ETA=16.4min
[2026-05-22T15:48:38Z]   Progress: 13152/13753 (95.6%) | inserted=7113 images=11413 | 404s=0 errors=5933 | rate=0.6/s ETA=15.6min
[2026-05-22T15:49:42Z]   Progress: 13191/13753 (95.9%) | inserted=7113 images=11413 | 404s=0 errors=5953 | rate=0.6/s ETA=14.6min
[2026-05-22T15:50:49Z]   Progress: 13225/13753 (96.2%) | inserted=7113 images=11413 | 404s=0 errors=5973 | rate=0.6/s ETA=13.7min
[2026-05-22T15:51:54Z]   Progress: 13259/13753 (96.4%) | inserted=7113 images=11413 | 404s=0 errors=5987 | rate=0.6/s ETA=12.9min
[2026-05-22T15:53:05Z]   Progress: 13297/13753 (96.7%) | inserted=7113 images=11413 | 404s=0 errors=6007 | rate=0.6/s ETA=11.9min
[2026-05-22T15:54:06Z]   Progress: 13332/13753 (96.9%) | inserted=7213 images=11659 | 404s=0 errors=6026 | rate=0.6/s ETA=11.0min
[2026-05-22T15:55:08Z]   Progress: 13368/13753 (97.2%) | inserted=7213 images=11659 | 404s=0 errors=6037 | rate=0.6/s ETA=10.0min
[2026-05-22T15:56:12Z]   Progress: 13404/13753 (97.5%) | inserted=7213 images=11659 | 404s=0 errors=6056 | rate=0.6/s ETA=9.1min
[2026-05-22T15:57:16Z]   Progress: 13440/13753 (97.7%) | inserted=7213 images=11659 | 404s=0 errors=6072 | rate=0.6/s ETA=8.2min
[2026-05-22T15:58:22Z]   Progress: 13478/13753 (98.0%) | inserted=7213 images=11659 | 404s=0 errors=6087 | rate=0.6/s ETA=7.2min
[2026-05-22T15:59:27Z]   Progress: 13514/13753 (98.3%) | inserted=7313 images=11859 | 404s=0 errors=6095 | rate=0.6/s ETA=6.2min
[2026-05-22T16:00:32Z]   Progress: 13550/13753 (98.5%) | inserted=7313 images=11859 | 404s=0 errors=6115 | rate=0.6/s ETA=5.3min
[2026-05-22T16:01:35Z]   Progress: 13581/13753 (98.7%) | inserted=7313 images=11859 | 404s=0 errors=6131 | rate=0.6/s ETA=4.5min
[2026-05-22T16:02:36Z]   Progress: 13618/13753 (99.0%) | inserted=7313 images=11859 | 404s=0 errors=6144 | rate=0.6/s ETA=3.5min
[2026-05-22T16:03:37Z]   Progress: 13654/13753 (99.3%) | inserted=7313 images=11859 | 404s=0 errors=6161 | rate=0.6/s ETA=2.6min
[2026-05-22T16:04:39Z]   Progress: 13693/13753 (99.6%) | inserted=7413 images=12244 | 404s=0 errors=6176 | rate=0.6/s ETA=1.6min
[2026-05-22T16:05:40Z]   Progress: 13732/13753 (99.8%) | inserted=7413 images=12244 | 404s=0 errors=6193 | rate=0.6/s ETA=0.5min
[2026-05-22T16:06:26Z] Step 3: writing summary to /Users/admin/Games/reincarnated-collaboration/agentic_orchestration/legolas/research/weapon-library-import-2026-05-22/summaries/track-H-met-museum-summary.json
[2026-05-22T16:06:26Z] === Track H complete ===
[2026-05-22T16:06:26Z]   Inserted entries:    7459
[2026-05-22T16:06:26Z]   Inserted images:     12452
[2026-05-22T16:06:26Z]   Image coverage:      56.8%
[2026-05-22T16:06:26Z]   404s (retired):      0
[2026-05-22T16:06:26Z]   Errors:              6207
[2026-05-22T16:06:26Z]   Wall time:           359.4 min
[2026-05-22T16:06:26Z]   Acceptance: rows≥10K=False img≥70%=False
[2026-05-22T16:06:26Z]   Summary:             /Users/admin/Games/reincarnated-collaboration/agentic_orchestration/legolas/research/weapon-library-import-2026-05-22/summaries/track-H-met-museum-summary.json
[2026-05-22T16:06:26Z] WARN: rows < 10,000 — acceptance criterion C1 NOT MET
