point,who,record,bio,life_eq,charLevel_eq,spawn,cl_mode,charLevel,own_lifemod,glad_src,M,base_life,eHP
p01,Golem P2 - Moosilauke,records/creatures/enemies/nemesis/nemesis_undead_02b.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1),106,floor,106.0,0.0,w160(i159),10.04,317052.17287203943,3183203.8156352756
p01,Golem P2 - Moosilauke,records/creatures/enemies/nemesis/nemesis_undead_02b.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1),106,floor,106.0,0.0,w159/i158,10.02,317052.17287203943,3176862.772177835
p02,nemesis_wendigo_01,records/creatures/enemies/nemesis/nemesis_wendigo_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w160(i159),10.04,371561.22504526586,3730474.699454469
p02,nemesis_wendigo_01,records/creatures/enemies/nemesis/nemesis_wendigo_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w159/i158,10.02,371561.22504526586,3723043.474953564
p02,nemesis_wendigo_01,records/creatures/enemies/nemesis/nemesis_wendigo_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w160(i159),10.04,368896.76813636435,3703723.552089098
p02,nemesis_wendigo_01,records/creatures/enemies/nemesis/nemesis_wendigo_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w159/i158,10.02,368896.76813636435,3696345.6167263705
p02,Reaper of Rot,records/creatures/enemies/nemesis/nemesis_wendigo_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w160(i159),10.04,371561.22504526586,3730474.699454469
p02,Reaper of Rot,records/creatures/enemies/nemesis/nemesis_wendigo_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w159/i158,10.02,371561.22504526586,3723043.474953564
p02,Reaper of Rot,records/creatures/enemies/nemesis/nemesis_wendigo_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w160(i159),10.04,368896.76813636435,3703723.552089098
p02,Reaper of Rot,records/creatures/enemies/nemesis/nemesis_wendigo_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w159/i158,10.02,368896.76813636435,3696345.6167263705
