==============================================================================================================
STEP 2 — full field dump for one representative (Zantarin) so we can see the shape
==============================================================================================================
owners=['base', 'gdx1', 'gdx2', 'sm_mod']  fields=1007
  dualRangedEmoteAnimSpeed3                        = 1.0                                                                                        [sm_mod]
  dualRangedEmoteAnimWeight1                       = 100.0                                                                                      [sm_mod]
  dualRangedEmoteAnimWeight2                       = 100.0                                                                                      [sm_mod]
  dualRangedEmoteAnimWeight3                       = 100.0                                                                                      [sm_mod]
  dualRangedFidgetAnimSpeed1                       = 1.0                                                                                        [sm_mod]
  dualRangedFidgetAnimSpeed2                       = 1.0                                                                                        [sm_mod]
  dualRangedFidgetAnimSpeed3                       = 1.0                                                                                        [sm_mod]
  dualRangedFidgetAnimWeight1                      = 100.0                                                                                      [sm_mod]
  dualRangedFidgetAnimWeight2                      = 100.0                                                                                      [sm_mod]
  dualRangedFidgetAnimWeight3                      = 100.0                                                                                      [sm_mod]
  dualRangedFleeAnimSpeed1                         = 1.0                                                                                        [sm_mod]
  dualRangedFleeAnimSpeed2                         = 1.0                                                                                        [sm_mod]
  dualRangedFleeAnimSpeed3                         = 1.0                                                                                        [sm_mod]
  dualRangedFleeAnimWeight1                        = 100.0                                                                                      [sm_mod]
  dualRangedFleeAnimWeight2                        = 100.0                                                                                      [sm_mod]
  dualRangedFleeAnimWeight3                        = 100.0                                                                                      [sm_mod]
  dualRangedIdleTranAnimSpeed                      = 1.0                                                                                        [sm_mod]
  dualRangedLongIdleAnimSpeed                      = 1.0                                                                                        [sm_mod]
  dualRangedPassItemAnimSpeed                      = 1.0                                                                                        [sm_mod]
  dualRangedPickupAnimSpeed                        = 1.0                                                                                        [sm_mod]
  dualRangedRallyAnimSpeed1                        = 1.0                                                                                        [sm_mod]
  dualRangedRallyAnimSpeed2                        = 1.0                                                                                        [sm_mod]
  dualRangedRallyAnimSpeed3                        = 1.0                                                                                        [sm_mod]
  dualRangedRallyAnimWeight1                       = 100.0                                                                                      [sm_mod]
  dualRangedRallyAnimWeight2                       = 100.0                                                                                      [sm_mod]
  dualRangedRallyAnimWeight3                       = 100.0                                                                                      [sm_mod]
  dualRangedRespawnAnimSpeed                       = 1.0                                                                                        [sm_mod]
  dualRangedRunAnimSpeed                           = 1.0                                                                                        [sm_mod]
  dualRangedSpawnAnimSpeed                         = 1.0                                                                                        [sm_mod]
  dualRangedSpecialAnimSpeed1                      = 1.0                                                                                        [sm_mod]
  dualRangedSpecialAnimSpeed10                     = 1.0                                                                                        [sm_mod]
  dualRangedSpecialAnimSpeed2                      = 1.0                                                                                        [sm_mod]
  dualRangedSpecialAnimSpeed3                      = 1.0                                                                                        [sm_mod]
  dualRangedSpecialAnimSpeed4                      = 1.0                                                                                        [sm_mod]
  dualRangedSpecialAnimSpeed5                      = 1.0                                                                                        [sm_mod]
  dualRangedSpecialAnimSpeed6                      = 1.0                                                                                        [sm_mod]
  dualRangedSpecialAnimSpeed7                      = 1.0                                                                                        [sm_mod]
  dualRangedSpecialAnimSpeed8                      = 1.0                                                                                        [sm_mod]
  dualRangedSpecialAnimSpeed9                      = 1.0                                                                                        [sm_mod]
  dualRangedSpellAttackAnimSpeed                   = 1.0                                                                                        [sm_mod]
  dualRangedStunAnimSpeed                          = 1.0                                                                                        [sm_mod]
  dualRangedWaitingAnimSpeed1                      = 1.0                                                                                        [sm_mod]
  dualRangedWaitingAnimSpeed2                      = 1.0                                                                                        [sm_mod]
  dualRangedWaitingAnimSpeed3                      = 1.0                                                                                        [sm_mod]
  dualRangedWaitingAnimWeight1                     = 100.0                                                                                      [sm_mod]
  dualRangedWaitingAnimWeight2                     = 100.0                                                                                      [sm_mod]
  dualRangedWaitingAnimWeight3                     = 100.0                                                                                      [sm_mod]
  dualRangedWalkAnimSpeed                          = 1.0                                                                                        [sm_mod]
  experiencePoints                                 = 1500                                                                                       [sm_mod]
  factions                                         = records/controllers/factions/faction_aetherial.dbr                                         [sm_mod]
  fleeAnimChance                                   = 100                                                                                        [sm_mod]
  fleeSoundChance                                  = 100                                                                                        [sm_mod]
  forcedUpdates                                    = False                                                                                      [sm_mod]
  genericSound1                                    = records/sounds/enemies/ambient/spak_spawnzombie01.dbr                                      [sm_mod]
  genericSound1Chance                              = 100.0                                                                                      [sm_mod]
  genericSound2Chance                              = 100.0                                                                                      [sm_mod]
  genericSound3Chance                              = 100.0                                                                                      [sm_mod]
  genericSound4Chance                              = 100.0                                                                                      [sm_mod]
  gibThreshold                                     = 99999                                                                                      [sm_mod]
  giveXP                                           = False                                                                                      [sm_mod]
  glowTexture                                      = creatures/enemies/skeleton/skeleton_01c_glo.tex                                            [sm_mod]
  healSkillDelay                                   = 3.0                                                                                        [sm_mod]
  healthGainOnKillPct                              = 33                                                                                         [sm_mod]
  hiddenFromCombat                                 = False                                                                                      [sm_mod]
  hitThreshold                                     = 100                                                                                        [sm_mod]
  impactSound                                      = records/sounds/enemies/combatbasic/spak_impact_bone.dbr                                    [sm_mod]
  impactSoundChance                                = 100.0                                                                                      [sm_mod]
  initialSkillName                                 = records/skills/nonplayerskills/bossskills/nemesis/zantarin_deathaura.dbr                   [sm_mod]
  invincible                                       = False                                                                                      [sm_mod]
  lifeTime                                         = 0                                                                                          [sm_mod]
  lightRig                                         = records/fx/lightrigs/enemylightrig.dbr                                                     [sm_mod]
  longRangeMax                                     = 20.0                                                                                       [sm_mod]
  longRangeMin                                     = 9.0                                                                                        [sm_mod]
  loopingRunningSoundFadeTime                      = 1000                                                                                       [sm_mod]
  lootLeftHandItem1                                = records/items/loottables/mastertables/mt_gearweaponsfocus_a01.dbr                          [sm_mod]
  lootLeftHandItem2                                = records/items/loottables/mastertables/mt_gearweaponsfocus_c01.dbr                          [sm_mod]
  lootLeftHandItem3                                = records/items/loottables/mastertables/mt_gearweaponsfocus_d01.dbr                          [sm_mod]
  lootMisc1Item1                                   = records/items/loottables/mastertables/mt_geararmorshoulder_nemesisnecro.dbr                [gdx2]
  lootMisc2Item1                                   = records/items/loottables/enemyspecific/tdyn_nemesis_orderdeathsvigil_booster_c01.dbr       [gdx2]
  lootMisc2Item2                                   = records/items/questitems/scrapmetal.dbr                                                    [gdx2]
  lootMisc2Item3                                   = records/items/crafting/materials/craft_celestiallotus.dbr                                  [gdx2]
  lootMisc3Item1                                   = records/items/loottables/misc/tdyn_constitution_a01.dbr                                    [gdx2]
  lootRightHandItem1                               = records/items/loottables/mastertables/mt_gearweaponscaster_a01.dbr                         [sm_mod]
  lootRightHandItem2                               = records/items/loottables/mastertables/mt_gearweaponscaster_c01.dbr                         [sm_mod]
  lootRightHandItem3                               = records/items/loottables/mastertables/mt_gearweaponscaster_d01.dbr                         [sm_mod]
  lqLightingHighlight                              = 0.30000001192092896                                                                        [sm_mod]
  mapNuggetType                                    = Boss                                                                                       [gdx2]
  maxDistressCalls                                 = 1                                                                                          [sm_mod]
  maxLevel                                         = 250                                                                                        [sm_mod]
  maxRotationSpeed                                 = 8.0                                                                                        [sm_mod]
  maxTransparency                                  = 0.5                                                                                        [sm_mod]
  mediumRangeMax                                   = 15.0                                                                                       [sm_mod]
  mediumRangeMin                                   = 0.0                                                                                        [sm_mod]
  mesh                                             = creatures/enemies/skeleton/skeleton_basecaster_01a.msh                                     [sm_mod]
  minLevel                                         = 1                                                                                          [sm_mod]
  minRotationSpeed                                 = 4.0                                                                                        [sm_mod]
  monsterClassification                            = Boss                                                                                       [sm_mod]
  monsterIconHeight                                = 3.0                                                                                        [sm_mod]
  numAttackSlots                                   = 8                                                                                          [sm_mod]
  numDefenseSlots                                  = 8                                                                                          [sm_mod]
  onDie                                            = gd.survival.rewards.nemesisKilled                                                          [sm_mod]
  outlineThickness                                 = 0.03500000014901161                                                                        [sm_mod]
  overrideRagdollBehavior                          = TakeHit                                                                                    [sm_mod]
  pathMass                                         = 1.0                                                                                        [sm_mod]
  pathingSize                                      = Small                                                                                      [sm_mod]
  physicsFriction                                  = 10.0                                                                                       [sm_mod]
  physicsMass                                      = 5.0                                                                                        [sm_mod]
  physicsRestitution                               = 0.0                                                                                        [sm_mod]
  quest                                            = False                                                                                      [sm_mod]
  rallyAnimChance                                  = 0                                                                                          [sm_mod]
  rallySoundChance                                 = 100.0                                                                                      [sm_mod]
  rampageSoundDelay                                = 5.0                                                                                        [sm_mod]
  ranged1hAlertAnimSpeed1                          = 1.0                                                                                        [sm_mod]
  ranged1hAlertAnimSpeed2                          = 1.0                                                                                        [sm_mod]
  ranged1hAlertAnimSpeed3                          = 1.0                                                                                        [sm_mod]
  ranged1hAlertAnimWeight1                         = 100.0                                                                                      [sm_mod]
  ranged1hAlertAnimWeight2                         = 100.0                                                                                      [sm_mod]
  ranged1hAlertAnimWeight3                         = 100.0                                                                                      [sm_mod]
  ranged1hAttTurnRight90AnimSpeed                  = 1.0                                                                                        [sm_mod]
  ranged1hAttackAnimSpeed1                         = 1.0                                                                                        [sm_mod]
  ranged1hAttackAnimSpeed2                         = 1.0                                                                                        [sm_mod]
  ranged1hAttackAnimSpeed3                         = 1.0                                                                                        [sm_mod]
  ranged1hAttackAnimWeight1                        = 100.0                                                                                      [sm_mod]
  ranged1hAttackAnimWeight2                        = 100.0                                                                                      [sm_mod]
  ranged1hAttackAnimWeight3                        = 100.0                                                                                      [sm_mod]
  ranged1hAttackIdleAnimSpeed                      = 1.0                                                                                        [sm_mod]
  ranged1hBuffOtherAnimSpeed1                      = 1.0                                                                                        [sm_mod]
  ranged1hBuffOtherAnimWeight1                     = 100.0                                                                                      [sm_mod]
  ranged1hBuffSelfAnimSpeed1                       = 1.0                                                                                        [sm_mod]
  ranged1hBuffSelfAnimWeight1                      = 100.0                                                                                      [sm_mod]
  ranged1hChannelAnimSpeed                         = 1.0                                                                                        [sm_mod]
  ranged1hChannelEndAnimSpeed                      = 1.0                                                                                        [sm_mod]
  ranged1hChannelStartAnimSpeed                    = 1.0                                                                                        [sm_mod]
  ranged1hChatAnimSpeed                            = 1.0                                                                                        [sm_mod]
  ranged1hCriticalHitAnimSpeed                     = 1.0                                                                                        [sm_mod]
  ranged1hDieAnimSpeed1                            = 1.0                                                                                        [sm_mod]
  ranged1hDieAnimSpeed2                            = 1.0                                                                                        [sm_mod]
  ranged1hDieAnimSpeed3                            = 1.0                                                                                        [sm_mod]
  ranged1hDieAnimWeight1                           = 100.0                                                                                      [sm_mod]
  ranged1hDieAnimWeight2                           = 100.0                                                                                      [sm_mod]
  ranged1hDieAnimWeight3                           = 100.0                                                                                      [sm_mod]
  ranged1hEmoteAnimSpeed1                          = 1.0                                                                                        [sm_mod]
  ranged1hEmoteAnimSpeed2                          = 1.0                                                                                        [sm_mod]
  ranged1hEmoteAnimSpeed3                          = 1.0                                                                                        [sm_mod]
  ranged1hEmoteAnimWeight1                         = 100.0                                                                                      [sm_mod]
  ranged1hEmoteAnimWeight2                         = 100.0                                                                                      [sm_mod]
  ranged1hEmoteAnimWeight3                         = 100.0                                                                                      [sm_mod]
  ranged1hFidgetAnimSpeed1                         = 1.0                                                                                        [sm_mod]
  ranged1hFidgetAnimSpeed2                         = 1.0                                                                                        [sm_mod]
  ranged1hFidgetAnimSpeed3                         = 1.0                                                                                        [sm_mod]
  ranged1hFidgetAnimWeight1                        = 100.0                                                                                      [sm_mod]
  ranged1hFidgetAnimWeight2                        = 100.0                                                                                      [sm_mod]
  ranged1hFidgetAnimWeight3                        = 100.0                                                                                      [sm_mod]
  ranged1hFleeAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  ranged1hFleeAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  ranged1hFleeAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  ranged1hFleeAnimWeight1                          = 100.0                                                                                      [sm_mod]
  ranged1hFleeAnimWeight2                          = 100.0                                                                                      [sm_mod]
  ranged1hFleeAnimWeight3                          = 100.0                                                                                      [sm_mod]
  ranged1hGetUpFaceDownAnimSpeed                   = 1.0                                                                                        [sm_mod]
  ranged1hGetUpFaceUpAnimSpeed                     = 1.0                                                                                        [sm_mod]
  ranged1hIdleTranAnimSpeed                        = 1.0                                                                                        [sm_mod]
  ranged1hLongIdleAnimSpeed                        = 1.0                                                                                        [sm_mod]
  ranged1hPassItemAnimSpeed                        = 1.0                                                                                        [sm_mod]
  ranged1hPickupAnimSpeed                          = 1.0                                                                                        [sm_mod]
  ranged1hRallyAnimSpeed1                          = 1.0                                                                                        [sm_mod]
  ranged1hRallyAnimSpeed2                          = 1.0                                                                                        [sm_mod]
  ranged1hRallyAnimSpeed3                          = 1.0                                                                                        [sm_mod]
  ranged1hRallyAnimWeight1                         = 100.0                                                                                      [sm_mod]
  ranged1hRallyAnimWeight2                         = 100.0                                                                                      [sm_mod]
  ranged1hRallyAnimWeight3                         = 100.0                                                                                      [sm_mod]
  ranged1hRespawnAnimSpeed                         = 1.0                                                                                        [sm_mod]
  ranged1hRunAnimSpeed                             = 1.0                                                                                        [sm_mod]
  ranged1hSpawnAnimSpeed                           = 1.0                                                                                        [sm_mod]
  ranged1hSpecialAnimSpeed1                        = 1.0                                                                                        [sm_mod]
  ranged1hSpecialAnimSpeed10                       = 1.0                                                                                        [sm_mod]
  ranged1hSpecialAnimSpeed2                        = 1.0                                                                                        [sm_mod]
  ranged1hSpecialAnimSpeed3                        = 1.0                                                                                        [sm_mod]
  ranged1hSpecialAnimSpeed4                        = 1.0                                                                                        [sm_mod]
  ranged1hSpecialAnimSpeed5                        = 1.0                                                                                        [sm_mod]
  ranged1hSpecialAnimSpeed6                        = 1.0                                                                                        [sm_mod]
  ranged1hSpecialAnimSpeed7                        = 1.0                                                                                        [sm_mod]
  ranged1hSpecialAnimSpeed8                        = 1.0                                                                                        [sm_mod]
  ranged1hSpecialAnimSpeed9                        = 1.0                                                                                        [sm_mod]
  ranged1hSpellAttackAnimSpeed                     = 1.0                                                                                        [sm_mod]
  ranged1hStunAnimSpeed                            = 1.0                                                                                        [sm_mod]
  ranged1hTakeHitAnimSpeed                         = 1.0                                                                                        [sm_mod]
  ranged1hWaitingAnimSpeed1                        = 1.0                                                                                        [sm_mod]
  ranged1hWaitingAnimSpeed2                        = 1.0                                                                                        [sm_mod]
  ranged1hWaitingAnimSpeed3                        = 1.0                                                                                        [sm_mod]
  ranged1hWaitingAnimWeight1                       = 100.0                                                                                      [sm_mod]
  ranged1hWaitingAnimWeight2                       = 100.0                                                                                      [sm_mod]
  ranged1hWaitingAnimWeight3                       = 100.0                                                                                      [sm_mod]
  ranged1hWalkAnimSpeed                            = 1.0                                                                                        [sm_mod]
  ranged2hAlertAnimSpeed1                          = 1.0                                                                                        [sm_mod]
  ranged2hAlertAnimSpeed2                          = 1.0                                                                                        [sm_mod]
  ranged2hAlertAnimSpeed3                          = 1.0                                                                                        [sm_mod]
  ranged2hAlertAnimWeight1                         = 100.0                                                                                      [sm_mod]
  ranged2hAlertAnimWeight2                         = 100.0                                                                                      [sm_mod]
  ranged2hAlertAnimWeight3                         = 100.0                                                                                      [sm_mod]
  ranged2hAttackAnimSpeed1                         = 1.0                                                                                        [sm_mod]
  ranged2hAttackAnimSpeed2                         = 1.0                                                                                        [sm_mod]
  ranged2hAttackAnimSpeed3                         = 1.0                                                                                        [sm_mod]
  ranged2hAttackAnimWeight1                        = 100.0                                                                                      [sm_mod]
  ranged2hAttackAnimWeight2                        = 100.0                                                                                      [sm_mod]
  ranged2hAttackAnimWeight3                        = 100.0                                                                                      [sm_mod]
  ranged2hAttackIdleAnimSpeed                      = 1.0                                                                                        [sm_mod]
  ranged2hBuffOtherAnimSpeed1                      = 1.0                                                                                        [sm_mod]
  ranged2hBuffOtherAnimWeight1                     = 100.0                                                                                      [sm_mod]
  ranged2hBuffSelfAnimSpeed1                       = 1.0                                                                                        [sm_mod]
  ranged2hBuffSelfAnimWeight1                      = 100.0                                                                                      [sm_mod]
  ranged2hChannelAnimSpeed                         = 1.0                                                                                        [sm_mod]
  ranged2hChannelEndAnimSpeed                      = 1.0                                                                                        [sm_mod]
  ranged2hChannelStartAnimSpeed                    = 1.0                                                                                        [sm_mod]
  ranged2hChatAnimSpeed                            = 1.0                                                                                        [sm_mod]
  ranged2hCriticalHitAnimSpeed                     = 1.0                                                                                        [sm_mod]
  ranged2hDieAnimSpeed1                            = 1.0                                                                                        [sm_mod]
  ranged2hDieAnimSpeed2                            = 1.0                                                                                        [sm_mod]
  ranged2hDieAnimSpeed3                            = 1.0                                                                                        [sm_mod]
  ranged2hDieAnimWeight1                           = 100.0                                                                                      [sm_mod]
  ranged2hDieAnimWeight2                           = 100.0                                                                                      [sm_mod]
  ranged2hDieAnimWeight3                           = 100.0                                                                                      [sm_mod]
  ranged2hEmoteAnimSpeed1                          = 1.0                                                                                        [sm_mod]
  ranged2hEmoteAnimSpeed2                          = 1.0                                                                                        [sm_mod]
  ranged2hEmoteAnimSpeed3                          = 1.0                                                                                        [sm_mod]
  ranged2hEmoteAnimWeight1                         = 100.0                                                                                      [sm_mod]
  ranged2hEmoteAnimWeight2                         = 100.0                                                                                      [sm_mod]
  ranged2hEmoteAnimWeight3                         = 100.0                                                                                      [sm_mod]
  ranged2hFidgetAnimSpeed1                         = 1.0                                                                                        [sm_mod]
  ranged2hFidgetAnimSpeed2                         = 1.0                                                                                        [sm_mod]
  ranged2hFidgetAnimSpeed3                         = 1.0                                                                                        [sm_mod]
  ranged2hFidgetAnimWeight1                        = 100.0                                                                                      [sm_mod]
  ranged2hFidgetAnimWeight2                        = 100.0                                                                                      [sm_mod]
  ranged2hFidgetAnimWeight3                        = 100.0                                                                                      [sm_mod]
  ranged2hFleeAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  ranged2hFleeAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  ranged2hFleeAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  ranged2hFleeAnimWeight1                          = 100.0                                                                                      [sm_mod]
  ranged2hFleeAnimWeight2                          = 100.0                                                                                      [sm_mod]
  ranged2hFleeAnimWeight3                          = 100.0                                                                                      [sm_mod]
  ranged2hGetUpFaceDownAnimSpeed                   = 1.0                                                                                        [sm_mod]
  ranged2hGetUpFaceUpAnimSpeed                     = 1.0                                                                                        [sm_mod]
  ranged2hIdleTranAnimSpeed                        = 1.0                                                                                        [sm_mod]
  ranged2hLongIdleAnimSpeed                        = 1.0                                                                                        [sm_mod]
  ranged2hPassItemAnimSpeed                        = 1.0                                                                                        [sm_mod]
  ranged2hPickupAnimSpeed                          = 1.0                                                                                        [sm_mod]
  ranged2hRallyAnimSpeed1                          = 1.0                                                                                        [sm_mod]
  ranged2hRallyAnimSpeed2                          = 1.0                                                                                        [sm_mod]
  ranged2hRallyAnimSpeed3                          = 1.0                                                                                        [sm_mod]
  ranged2hRallyAnimWeight1                         = 100.0                                                                                      [sm_mod]
  ranged2hRallyAnimWeight2                         = 100.0                                                                                      [sm_mod]
  ranged2hRallyAnimWeight3                         = 100.0                                                                                      [sm_mod]
  ranged2hRespawnAnimSpeed                         = 1.0                                                                                        [sm_mod]
  ranged2hRunAnimSpeed                             = 1.0                                                                                        [sm_mod]
  ranged2hSpawnAnimSpeed                           = 1.0                                                                                        [sm_mod]
  ranged2hSpecialAnimSpeed1                        = 1.0                                                                                        [sm_mod]
  ranged2hSpecialAnimSpeed10                       = 1.0                                                                                        [sm_mod]
  ranged2hSpecialAnimSpeed2                        = 1.0                                                                                        [sm_mod]
  ranged2hSpecialAnimSpeed3                        = 1.0                                                                                        [sm_mod]
  ranged2hSpecialAnimSpeed4                        = 1.0                                                                                        [sm_mod]
  ranged2hSpecialAnimSpeed5                        = 1.0                                                                                        [sm_mod]
  ranged2hSpecialAnimSpeed6                        = 1.0                                                                                        [sm_mod]
  ranged2hSpecialAnimSpeed7                        = 1.0                                                                                        [sm_mod]
  ranged2hSpecialAnimSpeed8                        = 1.0                                                                                        [sm_mod]
  ranged2hSpecialAnimSpeed9                        = 1.0                                                                                        [sm_mod]
  ranged2hSpellAttackAnimSpeed                     = 1.0                                                                                        [sm_mod]
  ranged2hStunAnimSpeed                            = 1.0                                                                                        [sm_mod]
  ranged2hTakeHitAnimSpeed                         = 1.0                                                                                        [sm_mod]
  ranged2hWaitingAnimSpeed1                        = 1.0                                                                                        [sm_mod]
  ranged2hWaitingAnimSpeed2                        = 1.0                                                                                        [sm_mod]
  ranged2hWaitingAnimSpeed3                        = 1.0                                                                                        [sm_mod]
  ranged2hWaitingAnimWeight1                       = 100.0                                                                                      [sm_mod]
  ranged2hWaitingAnimWeight2                       = 100.0                                                                                      [sm_mod]
  ranged2hWaitingAnimWeight3                       = 100.0                                                                                      [sm_mod]
  ranged2hWalkAnimSpeed                            = 1.0                                                                                        [sm_mod]
  rotateWhenChatting                               = True                                                                                       [sm_mod]
  sHandedAlertAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  sHandedAlertAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  sHandedAlertAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  sHandedAlertAnimWeight1                          = 100.0                                                                                      [sm_mod]
  sHandedAlertAnimWeight2                          = 100.0                                                                                      [sm_mod]
  sHandedAlertAnimWeight3                          = 100.0                                                                                      [sm_mod]
  sHandedAttackAnimSpeed1                          = 1.0                                                                                        [sm_mod]
  sHandedAttackAnimSpeed2                          = 1.0                                                                                        [sm_mod]
  sHandedAttackAnimSpeed3                          = 1.0                                                                                        [sm_mod]
  sHandedAttackAnimWeight1                         = 100.0                                                                                      [sm_mod]
  sHandedAttackAnimWeight2                         = 100.0                                                                                      [sm_mod]
  sHandedAttackAnimWeight3                         = 100.0                                                                                      [sm_mod]
  sHandedAttackIdleAnimSpeed                       = 1.0                                                                                        [sm_mod]
  sHandedBuffOtherAnimSpeed1                       = 1.0                                                                                        [sm_mod]
  sHandedBuffOtherAnimWeight1                      = 100.0                                                                                      [sm_mod]
  sHandedBuffSelfAnimSpeed1                        = 1.0                                                                                        [sm_mod]
  sHandedBuffSelfAnimWeight1                       = 100.0                                                                                      [sm_mod]
  sHandedChannelAnimSpeed                          = 1.0                                                                                        [sm_mod]
  sHandedChannelEndAnimSpeed                       = 1.0                                                                                        [sm_mod]
