arena_archive,arena_map,emitter,x,z,arena_centre_x,arena_centre_z,arena_centre_basis,radius_m,bearing_deg,oclock,patrol_r_min,patrol_r_mean,patrol_r_max,n_patrol_points
sm2,survivalworld_h.map,p01_tier02,71.059,91.18,68.217,61.203,centroid of the PatrolPoint_Attack group,30.111,5.41,0.18,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier03,71.064,90.933,68.217,61.203,centroid of the PatrolPoint_Attack group,29.866,5.47,0.18,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier04,71.075,90.945,68.217,61.203,centroid of the PatrolPoint_Attack group,29.878,5.49,0.18,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier05,71.06,91.124,68.217,61.203,centroid of the PatrolPoint_Attack group,30.055,5.43,0.18,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier06,70.929,90.941,68.217,61.203,centroid of the PatrolPoint_Attack group,29.861,5.21,0.17,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier07,71.008,91.38,68.217,61.203,centroid of the PatrolPoint_Attack group,30.306,5.28,0.18,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier08,71.078,90.821,68.217,61.203,centroid of the PatrolPoint_Attack group,29.756,5.52,0.18,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier09,71.236,91.251,68.217,61.203,centroid of the PatrolPoint_Attack group,30.199,5.74,0.19,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier10,71.352,91.086,68.217,61.203,centroid of the PatrolPoint_Attack group,30.047,5.99,0.2,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier11,71.207,90.6,68.217,61.203,centroid of the PatrolPoint_Attack group,29.548,5.81,0.19,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier12,71.023,90.786,68.217,61.203,centroid of the PatrolPoint_Attack group,29.715,5.42,0.18,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier13,72.411,89.743,68.217,61.203,centroid of the PatrolPoint_Attack group,28.846,8.36,0.28,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier14,71.588,91.356,68.217,61.203,centroid of the PatrolPoint_Attack group,30.34,6.38,0.21,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier15,71.585,91.728,68.217,61.203,centroid of the PatrolPoint_Attack group,30.71,6.3,0.21,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier16,71.166,91.362,68.217,61.203,centroid of the PatrolPoint_Attack group,30.302,5.58,0.19,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p01_tier17,71.172,91.43,68.217,61.203,centroid of the PatrolPoint_Attack group,30.371,5.58,0.19,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p02,115.794,58.258,68.217,61.203,centroid of the PatrolPoint_Attack group,47.667,93.54,3.12,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p03,107.753,42.339,68.217,61.203,centroid of the PatrolPoint_Attack group,43.805,115.51,3.85,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p04,71.295,13.968,68.217,61.203,centroid of the PatrolPoint_Attack group,47.335,176.27,5.88,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p05,72.071,77.919,68.217,61.203,centroid of the PatrolPoint_Attack group,17.154,12.98,0.43,1.934,16.568,23.956,9
sm2,survivalworld_h.map,p06,104.529,72.971,68.217,61.203,centroid of the PatrolPoint_Attack group,38.171,72.04,2.4,1.934,16.568,23.956,9
sm2,survivalworld_i.map,p01_tier01,26.423,67.14,50.205,43.925,centroid of the PatrolPoint_Attack group,33.234,314.31,10.48,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier02,30.341,74.002,50.205,43.925,centroid of the PatrolPoint_Attack group,36.044,326.56,10.89,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier03,30.347,73.755,50.205,43.925,centroid of the PatrolPoint_Attack group,35.835,326.35,10.88,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier04,30.358,73.766,50.205,43.925,centroid of the PatrolPoint_Attack group,35.838,326.37,10.88,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier05,30.212,73.763,50.205,43.925,centroid of the PatrolPoint_Attack group,35.916,326.18,10.87,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier06,30.361,73.643,50.205,43.925,centroid of the PatrolPoint_Attack group,35.734,326.27,10.88,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier07,31.246,73.153,50.205,43.925,centroid of the PatrolPoint_Attack group,34.838,327.03,10.9,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier08,30.489,73.421,50.205,43.925,centroid of the PatrolPoint_Attack group,35.478,326.24,10.87,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier09,30.519,74.073,50.205,43.925,centroid of the PatrolPoint_Attack group,36.006,326.86,10.9,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier10,30.635,73.908,50.205,43.925,centroid of the PatrolPoint_Attack group,35.804,326.87,10.9,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier11,30.683,73.752,50.205,43.925,centroid of the PatrolPoint_Attack group,35.647,326.8,10.89,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier12,30.448,74.183,50.205,43.925,centroid of the PatrolPoint_Attack group,36.137,326.86,10.9,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier13,30.312,74.236,50.205,43.925,centroid of the PatrolPoint_Attack group,36.256,326.72,10.89,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier14,30.305,73.608,50.205,43.925,centroid of the PatrolPoint_Attack group,35.736,326.16,10.87,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier15,30.291,74.202,50.205,43.925,centroid of the PatrolPoint_Attack group,36.239,326.67,10.89,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier16,30.765,73.608,50.205,43.925,centroid of the PatrolPoint_Attack group,35.482,326.78,10.89,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p01_tier17,30.343,73.946,50.205,43.925,centroid of the PatrolPoint_Attack group,35.996,326.51,10.88,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p02,67.69,76.691,50.205,43.925,centroid of the PatrolPoint_Attack group,37.139,28.09,0.94,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p03,85.95,26.933,50.205,43.925,centroid of the PatrolPoint_Attack group,39.579,115.43,3.85,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p04,61.941,4.221,50.205,43.925,centroid of the PatrolPoint_Attack group,41.403,163.53,5.45,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p05,51.904,44.03,50.205,43.925,centroid of the PatrolPoint_Attack group,1.703,86.48,2.88,3.284,16.027,23.437,10
sm2,survivalworld_i.map,p06,83.437,58.087,50.205,43.925,centroid of the PatrolPoint_Attack group,36.123,66.92,2.23,3.284,16.027,23.437,10
sm_mod,survivalworld_a.map,p01_tier01,46.639,74.434,81.26,64.361,centroid of the PatrolPoint_Attack group,36.057,286.22,9.54,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier02,46.661,73.485,81.26,64.361,centroid of the PatrolPoint_Attack group,35.782,284.77,9.49,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier03,46.286,74.628,81.26,64.361,centroid of the PatrolPoint_Attack group,36.45,286.36,9.55,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier04,46.626,74.033,81.26,64.361,centroid of the PatrolPoint_Attack group,35.959,285.6,9.52,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier05,47.194,73.976,81.26,64.361,centroid of the PatrolPoint_Attack group,35.397,285.76,9.53,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier06,46.463,73.833,81.26,64.361,centroid of the PatrolPoint_Attack group,36.063,285.23,9.51,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier07,46.768,73.871,81.26,64.361,centroid of the PatrolPoint_Attack group,35.779,285.42,9.51,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier08,41.639,83.704,81.26,64.361,centroid of the PatrolPoint_Attack group,44.09,296.02,9.87,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier09,47.184,73.464,81.26,64.361,centroid of the PatrolPoint_Attack group,35.272,284.96,9.5,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier10,46.816,74.314,81.26,64.361,centroid of the PatrolPoint_Attack group,35.853,286.12,9.54,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier11,53.125,83.853,81.26,64.361,centroid of the PatrolPoint_Attack group,34.228,304.71,10.16,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier12,46.708,74.147,81.26,64.361,centroid of the PatrolPoint_Attack group,35.911,285.81,9.53,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier13,46.674,74.103,81.26,64.361,centroid of the PatrolPoint_Attack group,35.932,285.73,9.52,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier14,45.907,74.564,81.26,64.361,centroid of the PatrolPoint_Attack group,36.796,286.1,9.54,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p01_tier15,46.882,74.669,81.26,64.361,centroid of the PatrolPoint_Attack group,35.891,286.69,9.56,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p02,95.906,36.871,81.26,64.361,centroid of the PatrolPoint_Attack group,31.148,151.95,5.07,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p03,89.385,96.729,81.26,64.361,centroid of the PatrolPoint_Attack group,33.372,14.09,0.47,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p04,112.165,71.508,81.26,64.361,centroid of the PatrolPoint_Attack group,31.72,76.98,2.57,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p05,71.793,57.653,81.26,64.361,centroid of the PatrolPoint_Attack group,11.603,234.68,7.82,5.963,18.202,24.818,11
sm_mod,survivalworld_a.map,p06,102.189,82.58,81.26,64.361,centroid of the PatrolPoint_Attack group,27.748,48.96,1.63,5.963,18.202,24.818,11
sm_mod,survivalworld_b.map,p01_tier01,30.793,67.506,71.086,64.705,centroid of the PatrolPoint_Attack group,40.39,273.98,9.13,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier02,29.537,57.306,71.086,64.705,centroid of the PatrolPoint_Attack group,42.202,259.9,8.66,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier03,35.586,63.971,71.086,64.705,centroid of the PatrolPoint_Attack group,35.507,268.82,8.96,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier04,35.978,64.614,71.086,64.705,centroid of the PatrolPoint_Attack group,35.108,269.85,9.0,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier05,35.854,64.696,71.086,64.705,centroid of the PatrolPoint_Attack group,35.232,269.99,9.0,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier06,36.528,63.499,71.086,64.705,centroid of the PatrolPoint_Attack group,34.578,268.0,8.93,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier07,35.747,64.491,71.086,64.705,centroid of the PatrolPoint_Attack group,35.339,269.65,8.99,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier08,35.835,64.363,71.086,64.705,centroid of the PatrolPoint_Attack group,35.252,269.44,8.98,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier09,35.872,64.408,71.086,64.705,centroid of the PatrolPoint_Attack group,35.215,269.52,8.98,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier10,35.98,65.224,71.086,64.705,centroid of the PatrolPoint_Attack group,35.11,270.85,9.03,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier11,35.588,64.716,71.086,64.705,centroid of the PatrolPoint_Attack group,35.498,270.02,9.0,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier12,35.913,64.38,71.086,64.705,centroid of the PatrolPoint_Attack group,35.174,269.47,8.98,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier13,36.17,64.07,71.086,64.705,centroid of the PatrolPoint_Attack group,34.922,268.96,8.97,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier14,34.749,64.516,71.086,64.705,centroid of the PatrolPoint_Attack group,36.337,269.7,8.99,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p01_tier15,35.3,64.65,71.086,64.705,centroid of the PatrolPoint_Attack group,35.786,269.91,9.0,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p02,76.123,24.469,71.086,64.705,centroid of the PatrolPoint_Attack group,40.55,172.86,5.76,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p03,63.925,103.009,71.086,64.705,centroid of the PatrolPoint_Attack group,38.967,349.41,11.65,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p04,109.496,62.91,71.086,64.705,centroid of the PatrolPoint_Attack group,38.452,92.68,3.09,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p05,61.954,66.847,71.086,64.705,centroid of the PatrolPoint_Attack group,9.38,283.2,9.44,2.801,12.832,18.206,11
sm_mod,survivalworld_b.map,p06,98.478,93.699,71.086,64.705,centroid of the PatrolPoint_Attack group,39.887,43.37,1.45,2.801,12.832,18.206,11
sm_mod,survivalworld_c.map,p01_tier01,35.612,65.233,67.809,59.559,centroid of the PatrolPoint_Attack group,32.693,279.99,9.33,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier02,35.641,64.999,67.809,59.559,centroid of the PatrolPoint_Attack group,32.624,279.6,9.32,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier03,35.647,64.751,67.809,59.559,centroid of the PatrolPoint_Attack group,32.578,279.17,9.31,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier04,35.605,64.604,67.809,59.559,centroid of the PatrolPoint_Attack group,32.596,278.9,9.3,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier05,35.512,64.759,67.809,59.559,centroid of the PatrolPoint_Attack group,32.713,279.15,9.3,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier06,35.983,64.749,67.809,59.559,centroid of the PatrolPoint_Attack group,32.246,279.26,9.31,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier07,35.818,65.07,67.809,59.559,centroid of the PatrolPoint_Attack group,32.461,279.77,9.33,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier08,35.66,64.639,67.809,59.559,centroid of the PatrolPoint_Attack group,32.547,278.98,9.3,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier09,35.789,64.418,67.809,59.559,centroid of the PatrolPoint_Attack group,32.386,278.63,9.29,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier10,35.935,64.905,67.809,59.559,centroid of the PatrolPoint_Attack group,32.319,279.52,9.32,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier11,35.59,65.198,67.809,59.559,centroid of the PatrolPoint_Attack group,32.708,279.93,9.33,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier12,36.993,63.561,67.809,59.559,centroid of the PatrolPoint_Attack group,31.074,277.4,9.25,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier13,35.657,64.763,67.809,59.559,centroid of the PatrolPoint_Attack group,32.57,279.19,9.31,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier14,35.642,64.942,67.809,59.559,centroid of the PatrolPoint_Attack group,32.614,279.5,9.32,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p01_tier15,35.748,65.18,67.809,59.559,centroid of the PatrolPoint_Attack group,32.549,279.94,9.33,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p02,53.448,95.951,67.809,59.559,centroid of the PatrolPoint_Attack group,39.123,338.47,11.28,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p03,91.576,85.197,67.809,59.559,centroid of the PatrolPoint_Attack group,34.96,42.83,1.43,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p04,92.789,32.169,67.809,59.559,centroid of the PatrolPoint_Attack group,37.071,137.64,4.59,2.23,18.697,29.825,11
sm_mod,survivalworld_c.map,p06,95.04,61.38,67.809,59.559,centroid of the PatrolPoint_Attack group,27.292,86.18,2.87,2.23,18.697,29.825,11
sm_mod,survivalworld_d.map,p01_tier01,36.508,43.103,33.545,84.391,centroid of the PatrolPoint_Attack group,41.394,175.9,5.86,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier02,36.672,43.282,33.545,84.391,centroid of the PatrolPoint_Attack group,41.228,175.65,5.86,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier03,36.558,43.307,33.545,84.391,centroid of the PatrolPoint_Attack group,41.194,175.81,5.86,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier04,36.689,43.169,33.545,84.391,centroid of the PatrolPoint_Attack group,41.342,175.64,5.85,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier05,36.849,43.277,33.545,84.391,centroid of the PatrolPoint_Attack group,41.247,175.41,5.85,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier06,35.983,43.636,33.545,84.391,centroid of the PatrolPoint_Attack group,40.828,176.58,5.89,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier07,36.624,43.381,33.545,84.391,centroid of the PatrolPoint_Attack group,41.126,175.71,5.86,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier08,36.644,43.792,33.545,84.391,centroid of the PatrolPoint_Attack group,40.717,175.63,5.85,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier09,36.467,42.553,33.545,84.391,centroid of the PatrolPoint_Attack group,41.94,176.0,5.87,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier10,36.288,43.211,33.545,84.391,centroid of the PatrolPoint_Attack group,41.271,176.19,5.87,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier11,36.35,43.525,33.545,84.391,centroid of the PatrolPoint_Attack group,40.962,176.07,5.87,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier12,35.084,52.98,33.545,84.391,centroid of the PatrolPoint_Attack group,31.448,177.2,5.91,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier13,36.419,43.672,33.545,84.391,centroid of the PatrolPoint_Attack group,40.82,175.96,5.87,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier14,36.519,43.681,33.545,84.391,centroid of the PatrolPoint_Attack group,40.819,175.82,5.86,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p01_tier15,36.62,43.003,33.545,84.391,centroid of the PatrolPoint_Attack group,41.503,175.75,5.86,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p02,10.191,111.129,33.545,84.391,centroid of the PatrolPoint_Attack group,35.501,318.86,10.63,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p03,71.774,93.993,33.545,84.391,centroid of the PatrolPoint_Attack group,39.416,75.9,2.53,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p04,47.727,126.574,33.545,84.391,centroid of the PatrolPoint_Attack group,44.503,18.58,0.62,1.414,18.52,26.64,11
sm_mod,survivalworld_d.map,p06,71.684,89.493,33.545,84.391,centroid of the PatrolPoint_Attack group,38.479,82.38,2.75,1.414,18.52,26.64,11
sm_mod,survivalworld_e.map,p01_tier01,34.426,77.955,70.462,62.855,centroid of the PatrolPoint_Attack group,39.071,292.74,9.76,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier02,34.396,77.643,70.462,62.855,centroid of the PatrolPoint_Attack group,38.98,292.29,9.74,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier03,34.495,77.668,70.462,62.855,centroid of the PatrolPoint_Attack group,38.897,292.38,9.75,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier04,34.981,77.497,70.462,62.855,centroid of the PatrolPoint_Attack group,38.383,292.42,9.75,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier05,34.073,78.149,70.462,62.855,centroid of the PatrolPoint_Attack group,39.472,292.8,9.76,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier06,34.604,77.835,70.462,62.855,centroid of the PatrolPoint_Attack group,38.861,292.67,9.76,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier07,34.448,77.006,70.462,62.855,centroid of the PatrolPoint_Attack group,38.694,291.45,9.72,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier08,34.971,76.985,70.462,62.855,centroid of the PatrolPoint_Attack group,38.2,291.71,9.72,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier09,34.25,77.354,70.462,62.855,centroid of the PatrolPoint_Attack group,39.006,291.82,9.73,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier10,34.669,78.19,70.462,62.855,centroid of the PatrolPoint_Attack group,38.94,293.19,9.77,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier11,42.927,71.536,70.462,62.855,centroid of the PatrolPoint_Attack group,28.871,287.5,9.58,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier12,34.556,77.392,70.462,62.855,centroid of the PatrolPoint_Attack group,38.737,292.04,9.73,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier13,34.413,77.555,70.462,62.855,centroid of the PatrolPoint_Attack group,38.93,292.18,9.74,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier14,33.695,78.085,70.462,62.855,centroid of the PatrolPoint_Attack group,39.797,292.5,9.75,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p01_tier15,34.461,77.625,70.462,62.855,centroid of the PatrolPoint_Attack group,38.913,292.31,9.74,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p02,82.4,28.946,70.462,62.855,centroid of the PatrolPoint_Attack group,35.949,160.61,5.35,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p03,71.368,100.191,70.462,62.855,centroid of the PatrolPoint_Attack group,37.347,1.39,0.05,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p04,106.88,64.45,70.462,62.855,centroid of the PatrolPoint_Attack group,36.453,87.49,2.92,2.181,15.481,20.81,11
sm_mod,survivalworld_e.map,p06,91.878,85.499,70.462,62.855,centroid of the PatrolPoint_Attack group,31.167,43.4,1.45,2.181,15.481,20.81,11
sm_mod,survivalworld_f.map,p01_tier01,24.285,67.799,62.695,61.05,centroid of the PatrolPoint_Attack group,38.999,279.96,9.33,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier02,19.517,69.997,62.695,61.05,centroid of the PatrolPoint_Attack group,44.095,281.71,9.39,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier03,19.894,69.74,62.695,61.05,centroid of the PatrolPoint_Attack group,43.674,281.48,9.38,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier04,19.493,70.205,62.695,61.05,centroid of the PatrolPoint_Attack group,44.162,281.96,9.4,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier05,19.483,70.492,62.695,61.05,centroid of the PatrolPoint_Attack group,44.231,282.32,9.41,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier06,19.885,70.713,62.695,61.05,centroid of the PatrolPoint_Attack group,43.888,282.72,9.42,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier07,19.777,69.897,62.695,61.05,centroid of the PatrolPoint_Attack group,43.821,281.65,9.39,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier08,19.952,69.801,62.695,61.05,centroid of the PatrolPoint_Attack group,43.63,281.57,9.39,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier09,19.74,69.853,62.695,61.05,centroid of the PatrolPoint_Attack group,43.848,281.58,9.39,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier10,18.654,70.005,62.695,61.05,centroid of the PatrolPoint_Attack group,44.942,281.49,9.38,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier11,19.883,70.103,62.695,61.05,centroid of the PatrolPoint_Attack group,43.759,281.94,9.4,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier12,19.872,69.784,62.695,61.05,centroid of the PatrolPoint_Attack group,43.705,281.53,9.38,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier13,19.652,69.98,62.695,61.05,centroid of the PatrolPoint_Attack group,43.96,281.72,9.39,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier14,19.497,70.507,62.695,61.05,centroid of the PatrolPoint_Attack group,44.221,282.35,9.41,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p01_tier15,19.758,70.186,62.695,61.05,centroid of the PatrolPoint_Attack group,43.898,282.01,9.4,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p02,76.055,29.572,62.695,61.05,centroid of the PatrolPoint_Attack group,34.196,157.0,5.23,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p03,46.942,100.179,62.695,61.05,centroid of the PatrolPoint_Attack group,42.181,338.07,11.27,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p04,90.38,49.976,62.695,61.05,centroid of the PatrolPoint_Attack group,29.818,111.8,3.73,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p05,55.169,53.086,62.695,61.05,centroid of the PatrolPoint_Attack group,10.957,223.38,7.45,5.511,20.885,30.072,12
sm_mod,survivalworld_f.map,p06,89.138,91.526,62.695,61.05,centroid of the PatrolPoint_Attack group,40.349,40.95,1.36,5.511,20.885,30.072,12
