track_id,wave,t_start,t_end,dur_s,n_frames,classification,r_start_gpx,r_end_gpx,r_min_gpx,blocked_frac,still_frac,max_blocked_dwell_s,med_speed_gpx_s,med_v_radial_gpx_s,med_v_tangential_gpx_s,tang_ratio_moving,tang_path_gpx,radial_path_gpx
W156-T29,156,771.883,774.25,2.367,67,APPROACH-DIRECT,250.8,103.4,18.1,0.604,0.0,0.0,307.0,108.9,136.7,0.665,338.0,436.0
W156-T30,156,774.167,776.867,2.7,62,INDETERMINATE,235.7,289.4,101.9,0.729,0.146,0.0,185.8,-52.1,94.3,0.694,297.0,303.0
W156-T31,156,776.833,778.667,1.833,61,IN-CONTACT,42.3,158.4,15.3,0.085,0.128,0.0,251.3,114.9,111.7,0.681,249.0,285.0
W157-T01,157,784.317,797.933,13.617,826,INDETERMINATE,980.6,217.1,51.3,0.454,0.308,0.4,123.8,0.0,82.2,0.79,1454.0,1455.0
W157-T02,157,785.033,796.783,11.75,712,INDETERMINATE,955.6,410.1,279.8,0.62,0.272,0.383,107.9,-8.8,48.1,0.508,927.0,1141.0
W157-T03,157,782.817,795.583,12.767,662,INDETERMINATE,323.8,225.4,44.4,0.67,0.134,0.2,164.9,37.2,85.1,0.595,1490.0,2021.0
W157-T04,157,787.817,798.733,10.917,655,INDETERMINATE,1037.1,57.9,2.7,0.384,0.298,0.267,103.7,8.2,62.7,0.636,962.0,1321.0
W157-T05,157,785.367,793.517,8.15,466,INDETERMINATE,974.4,597.2,273.0,0.881,0.204,0.667,154.6,38.0,69.1,0.534,958.0,1043.0
W157-T06,157,785.3,792.117,6.817,409,INDETERMINATE,863.6,490.0,294.9,0.805,0.291,0.333,125.4,0.6,47.3,0.713,531.0,661.0
W157-T07,157,785.683,794.033,8.35,396,INDETERMINATE,867.4,282.5,153.6,0.801,0.356,0.3,86.3,14.5,29.3,0.655,617.0,898.0
W157-T08,157,785.217,792.0,6.783,377,APPROACH-DIRECT,934.3,201.4,174.7,0.548,0.218,0.117,225.6,125.0,140.4,0.78,1421.0,1048.0
W157-T09,157,786.383,793.583,7.2,359,INDETERMINATE,443.4,803.0,325.4,0.797,0.229,0.733,195.2,1.8,89.3,0.657,1028.0,1005.0
W157-T10,157,785.467,791.833,6.367,339,INDETERMINATE,876.6,146.4,107.5,0.418,0.649,0.35,24.7,4.2,16.3,0.464,322.0,557.0
W157-T11,157,786.133,790.283,4.15,264,R1-STALLED-BEHIND,797.3,463.5,448.1,0.992,0.888,1.767,21.4,-3.5,6.5,nan,35.0,99.0
W157-T12,157,781.683,785.4,3.717,230,INDETERMINATE,708.2,212.1,65.4,0.208,0.213,0.0,90.5,35.7,47.3,0.297,232.0,308.0
W157-T13,157,785.567,789.3,3.733,186,INDETERMINATE,54.6,207.8,42.8,0.453,0.192,0.15,152.8,-23.7,66.1,0.61,608.0,589.0
W157-T14,157,787.667,791.617,3.95,181,INDETERMINATE,885.2,253.1,32.4,0.443,0.0,0.0,379.1,42.4,258.8,0.886,1151.0,754.0
W157-T15,157,791.183,795.667,4.483,172,INDETERMINATE,434.0,51.0,21.4,0.481,0.063,0.0,214.6,-13.8,108.5,0.515,535.0,925.0
W157-T16,157,786.133,789.25,3.117,165,INDETERMINATE,173.0,224.4,74.5,0.225,0.298,0.0,79.1,-5.3,43.8,0.647,206.0,228.0
W157-T17,157,781.767,784.217,2.45,159,INDETERMINATE,737.1,677.3,255.4,0.414,0.503,0.3,49.4,2.2,39.2,0.777,527.0,429.0
W157-T18,157,794.4,796.6,2.2,141,INDETERMINATE,842.9,636.0,512.7,0.441,0.236,0.2,148.3,-5.9,125.4,0.846,237.0,195.0
W157-T19,157,790.117,792.367,2.25,127,INDETERMINATE,78.6,214.7,78.6,0.239,0.009,0.0,289.8,-80.2,197.9,0.731,450.0,431.0
W157-T20,157,791.817,795.55,3.733,120,APPROACH-DIRECT,495.6,185.9,51.3,0.858,0.057,0.0,255.8,117.1,111.8,0.477,554.0,963.0
W157-T21,157,784.55,786.283,1.733,116,APPROACH-DIRECT,945.9,1040.9,837.3,0.382,0.029,0.0,234.6,117.7,123.2,0.601,219.0,286.0
W157-T22,157,786.983,791.767,4.783,116,IN-CONTACT,76.4,154.4,60.4,0.559,0.029,0.0,447.4,50.0,370.3,0.861,1696.0,861.0
W157-T23,157,787.867,789.533,1.667,115,INDETERMINATE,936.6,578.1,553.0,0.485,0.059,0.0,181.0,3.3,128.4,0.907,213.0,169.0
W157-T24,157,782.5,784.117,1.617,111,APPROACH-DIRECT,731.7,61.8,61.8,0.732,0.01,0.0,265.1,193.9,160.4,0.511,243.0,364.0
W157-T25,157,786.95,789.483,2.533,111,APPROACH-DIRECT,505.5,273.2,165.1,0.876,0.031,0.0,185.2,94.5,133.5,0.72,367.0,418.0
W157-T26,157,793.033,794.8,1.767,111,APPROACH-DIRECT,821.9,850.8,804.5,0.485,0.0,0.0,488.0,81.5,239.4,0.487,393.0,723.0
W157-T27,157,795.983,797.667,1.683,111,APPROACH-DIRECT,855.5,864.3,841.0,0.526,0.0,0.0,471.1,201.6,418.3,0.886,623.0,339.0
W157-T28,157,787.133,789.333,2.2,106,APPROACH-DIRECT,520.7,618.1,285.1,0.837,0.0,0.0,598.6,107.6,518.3,0.895,1062.0,600.0
W157-T29,157,786.683,789.467,2.783,101,APPROACH-DIRECT,325.9,265.1,59.1,0.414,0.0,0.0,318.9,144.0,177.9,0.701,551.0,800.0
W157-T30,157,787.7,789.117,1.417,99,APPROACH-DIRECT,827.1,570.9,460.2,0.612,0.0,0.0,625.9,171.0,432.7,0.926,665.0,396.0
W157-T31,157,791.833,795.617,3.783,98,INDETERMINATE,402.4,193.2,95.6,0.786,0.131,0.0,212.1,34.5,174.4,0.803,442.0,352.0
W157-T32,157,781.55,782.85,1.3,93,UNBLOCKED-NO-TEST,856.8,855.8,833.0,0.013,0.101,0.0,335.0,-211.5,154.7,0.587,242.0,333.0
W157-T33,157,791.433,794.6,3.167,90,INDETERMINATE,358.3,284.6,171.7,0.855,0.026,0.0,302.6,13.8,233.7,0.871,626.0,413.0
W157-T34,157,785.717,786.933,1.217,88,APPROACH-DIRECT,871.4,851.5,831.3,0.473,0.0,0.0,360.6,313.7,152.6,0.349,174.0,385.0
W157-T35,157,792.067,793.517,1.45,88,UNBLOCKED-NO-TEST,857.7,839.7,604.9,0.149,0.122,0.0,221.5,4.0,65.1,0.577,230.0,223.0
W157-T36,157,783.783,786.617,2.833,83,INDETERMINATE,45.5,681.0,5.9,0.362,0.058,0.0,402.1,-155.8,103.5,0.299,404.0,896.0
W157-T37,157,790.833,793.383,2.55,83,IN-CONTACT,49.5,190.7,6.7,0.304,0.058,0.0,362.3,-96.1,157.3,0.619,574.0,611.0
W157-T38,157,781.817,782.9,1.083,80,UNBLOCKED-NO-TEST,278.6,410.3,70.1,0.03,0.258,0.0,73.4,-49.0,14.7,0.662,204.0,270.0
W157-T39,157,789.85,790.85,1.0,75,UNBLOCKED-NO-TEST,858.7,858.6,843.3,0.148,0.475,0.0,50.7,-20.7,21.0,nan,30.0,53.0
W157-T40,157,782.2,783.3,1.1,70,APPROACH-DIRECT,788.2,302.6,153.9,0.143,0.0,0.0,652.2,556.4,333.4,0.479,445.0,581.0
W157-T41,157,787.65,788.6,0.95,68,INDETERMINATE,704.1,786.5,703.2,0.574,0.296,0.2,188.8,51.2,108.5,0.468,109.0,143.0
W157-T42,157,787.45,789.467,2.017,66,APPROACH-DIRECT,166.5,474.3,162.2,0.558,0.096,0.0,301.4,103.4,223.0,0.83,398.0,285.0
W157-T43,157,789.833,790.683,0.85,65,INDETERMINATE,730.3,734.2,717.3,1.0,0.471,0.133,52.1,3.0,14.6,nan,37.0,40.0
W157-T44,157,789.833,790.6,0.767,61,INDETERMINATE,732.2,742.0,720.0,1.0,0.489,0.133,50.3,4.7,12.8,nan,21.0,45.0
W157-T45,157,787.083,788.7,1.617,60,IN-CONTACT,131.7,241.5,58.3,0.543,0.0,0.0,381.0,-2.5,153.7,0.649,281.0,353.0
W158-T01,158,803.483,806.9,3.417,220,APPROACH-DIRECT,894.6,648.8,301.9,0.549,0.102,0.15,164.4,157.6,31.6,0.25,146.0,533.0
W158-T02,158,802.683,805.683,3.0,195,APPROACH-DIRECT,1137.1,503.6,254.8,0.293,0.011,0.0,228.4,211.0,36.7,0.152,130.0,653.0
W158-T03,158,801.383,804.15,2.767,165,INDETERMINATE,545.9,224.3,224.3,0.371,0.073,0.0,392.7,-138.7,134.5,0.512,539.0,713.0
W158-T04,158,805.3,807.65,2.35,139,INDETERMINATE,882.4,778.3,360.1,0.944,0.208,0.2,305.5,-254.9,31.9,0.129,201.0,622.0
W158-T05,158,805.4,808.283,2.883,137,APPROACH-DIRECT,618.1,87.7,17.7,0.52,0.008,0.0,374.1,294.6,132.9,0.444,510.0,832.0
W158-T06,158,802.117,804.433,2.317,133,APPROACH-DIRECT,922.6,68.4,16.3,0.378,0.017,0.0,291.3,263.4,62.4,0.192,175.0,603.0
W158-T07,158,802.167,804.467,2.3,129,APPROACH-DIRECT,905.3,231.4,108.1,0.304,0.026,0.0,354.9,332.5,67.4,0.188,287.0,564.0
W158-T08,158,808.15,810.35,2.2,126,INDETERMINATE,828.3,80.8,73.8,0.402,0.161,0.0,64.0,-52.4,28.1,0.874,490.0,296.0
W158-T09,158,804.05,806.9,2.85,118,APPROACH-DIRECT,864.3,282.9,142.9,0.606,0.01,0.0,409.2,375.8,108.8,0.274,524.0,740.0
W158-T10,158,802.533,804.3,1.767,116,APPROACH-DIRECT,993.5,197.2,197.2,0.51,0.02,0.0,279.4,223.4,124.6,0.49,286.0,384.0
W158-T11,158,805.717,807.617,1.9,113,INDETERMINATE,613.0,323.6,261.9,0.586,0.303,0.333,319.9,2.6,272.8,0.976,557.0,170.0
W158-T12,158,802.767,804.35,1.583,110,APPROACH-DIRECT,902.5,111.2,106.4,0.875,0.0,0.0,312.7,303.5,56.9,0.187,156.0,438.0
W158-T13,158,805.867,807.417,1.55,108,APPROACH-DIRECT,671.1,275.1,275.1,0.851,0.16,0.2,196.5,194.7,34.5,0.184,61.0,279.0
W158-T14,158,803.85,805.617,1.767,107,APPROACH-DIRECT,856.7,856.0,827.8,0.441,0.0,0.0,462.5,212.4,138.4,0.349,287.0,743.0
W158-T15,158,804.133,805.683,1.55,106,APPROACH-DIRECT,962.3,759.5,595.3,0.522,0.043,0.0,189.0,150.6,78.3,0.325,123.0,216.0
W158-T16,158,809.85,811.367,1.517,103,INDETERMINATE,611.2,396.6,395.8,0.517,0.652,0.133,23.2,2.1,20.7,nan,53.0,23.0
W158-T17,158,804.217,805.65,1.433,101,APPROACH-DIRECT,991.6,876.0,664.8,0.92,0.368,0.45,81.8,65.2,44.9,0.506,109.0,149.0
W158-T18,158,802.533,804.167,1.633,98,APPROACH-DIRECT,885.2,16.4,16.4,0.893,0.0,0.0,348.2,335.0,94.0,0.285,175.0,531.0
W158-T19,158,805.417,808.133,2.717,95,IN-CONTACT,107.2,192.3,14.4,0.469,0.111,0.0,329.2,36.5,55.1,0.229,293.0,909.0
W158-T20,158,805.85,807.5,1.65,95,APPROACH-DIRECT,506.5,287.5,287.5,0.926,0.185,0.133,266.6,105.8,164.3,0.758,383.0,325.0
W158-T21,158,802.3,803.917,1.617,94,APPROACH-DIRECT,964.3,200.7,195.6,0.838,0.0,0.0,395.3,201.3,342.8,0.854,449.0,347.0
W158-T22,158,809.217,810.517,1.3,93,APPROACH-DIRECT,928.0,370.4,367.0,0.203,0.0,0.0,583.4,434.8,350.2,0.659,505.0,499.0
W158-T23,158,801.35,802.6,1.25,90,APPROACH-DIRECT,727.3,278.1,249.7,0.684,0.197,0.117,284.6,141.9,201.1,0.764,233.0,279.0
W158-T24,158,801.35,802.8,1.45,90,INDETERMINATE,878.7,852.6,780.7,0.724,0.026,0.0,432.3,-301.6,191.4,0.687,462.0,553.0
W158-T25,158,809.367,810.617,1.25,90,APPROACH-DIRECT,867.9,855.7,843.9,0.145,0.0,0.0,386.9,282.6,164.0,0.656,235.0,367.0
W158-T26,158,802.1,803.783,1.683,88,APPROACH-DIRECT,928.8,122.9,91.3,0.432,0.014,0.0,339.9,295.5,155.0,0.456,307.0,495.0
W158-T27,158,806.05,807.417,1.367,86,INDETERMINATE,786.5,788.6,762.2,0.917,0.306,0.217,119.0,-67.0,24.1,0.206,73.0,139.0
W158-T28,158,805.9,807.15,1.25,84,IN-CONTACT,108.7,41.7,17.1,0.029,0.757,0.0,29.3,8.8,7.3,0.611,38.0,60.0
W158-T29,158,803.183,804.15,0.967,71,APPROACH-DIRECT,893.1,165.5,165.5,0.965,0.0,0.0,360.4,355.5,78.1,0.197,203.0,503.0
W158-T30,158,808.083,809.017,0.933,71,INDETERMINATE,777.2,959.3,678.9,0.333,0.193,0.117,84.8,47.2,49.1,0.23,46.0,101.0
W158-T31,158,808.1,809.017,0.917,70,INDETERMINATE,718.3,872.3,602.1,0.232,0.179,0.0,90.6,29.2,84.9,0.326,68.0,112.0
W158-T32,158,800.967,801.817,0.85,66,APPROACH-DIRECT,776.7,167.7,84.2,0.269,0.0,0.0,616.1,567.2,98.4,0.258,127.0,387.0
W158-T33,158,811.017,811.85,0.833,65,INDETERMINATE,663.2,663.1,663.0,0.51,1.0,0.1,1.3,-0.2,0.5,nan,0.0,1.0
W159-T01,159,820.533,835.067,14.533,685,INDETERMINATE,701.1,182.5,14.6,0.453,0.307,0.317,115.6,2.9,63.5,0.784,2058.0,1731.0
W159-T02,159,820.567,834.15,13.583,636,INDETERMINATE,73.7,648.8,12.5,0.762,0.342,0.35,120.0,-0.8,79.3,0.814,1570.0,1762.0
W159-T03,159,821.583,835.917,14.333,598,INDETERMINATE,67.5,78.0,43.3,0.687,0.257,0.283,126.7,2.2,59.0,0.562,1847.0,2492.0
W159-T04,159,820.067,829.05,8.983,537,INDETERMINATE,849.2,386.2,363.3,0.786,0.677,0.45,26.2,0.7,8.6,0.675,299.0,292.0
W159-T05,159,820.817,828.317,7.5,393,IN-CONTACT,198.9,223.0,46.4,0.385,0.517,0.433,32.5,2.2,12.7,0.307,609.0,1343.0
W159-T06,159,815.517,820.183,4.667,294,UNBLOCKED-NO-TEST,581.1,99.3,61.3,0.093,0.704,0.0,13.7,3.4,10.1,0.675,383.0,404.0
W159-T07,159,820.583,826.95,6.367,265,IN-CONTACT,609.7,580.4,39.2,0.482,0.104,0.0,205.9,-4.4,95.7,0.557,900.0,967.0
W159-T08,159,826.317,835.167,8.85,246,INDETERMINATE,571.7,207.2,14.5,0.694,0.039,0.0,263.6,59.6,136.0,0.707,1582.0,1380.0
W159-T09,159,822.567,830.4,7.833,236,INDETERMINATE,165.6,221.3,18.4,0.721,0.243,0.15,213.8,-8.5,65.5,0.51,1081.0,1278.0
W159-T10,159,815.567,819.95,4.383,232,INDETERMINATE,222.3,114.8,113.7,0.248,0.798,0.2,10.5,1.1,6.5,0.76,199.0,234.0
W159-T11,159,825.65,828.95,3.3,208,INDETERMINATE,370.9,422.9,370.6,0.83,0.273,0.3,102.7,-0.2,50.2,0.452,337.0,381.0
W159-T12,159,826.833,833.833,7.0,206,INDETERMINATE,222.6,484.5,79.1,0.677,0.057,0.0,345.0,22.0,137.6,0.627,1184.0,1703.0
W159-T13,159,821.267,825.15,3.883,195,INDETERMINATE,155.1,208.5,1.1,0.343,0.265,0.117,146.2,-6.0,49.9,0.689,710.0,640.0
W159-T14,159,825.933,828.633,2.7,176,APPROACH-DIRECT,821.3,483.5,467.5,0.833,0.265,0.3,164.5,120.1,96.3,0.717,440.0,352.0
W159-T15,159,826.9,829.583,2.683,175,INDETERMINATE,923.3,688.4,504.1,0.776,0.36,0.55,116.7,19.5,57.8,0.528,239.0,279.0
W159-T16,159,816.45,819.7,3.25,166,APPROACH-DIRECT,892.0,88.4,8.8,0.309,0.053,0.117,464.2,416.9,100.0,0.215,383.0,1175.0
W159-T17,159,828.233,830.683,2.45,155,INDETERMINATE,857.3,859.3,835.5,0.66,0.177,0.183,369.6,26.3,263.6,0.77,531.0,432.0
W159-T18,159,821.183,824.183,3.0,148,INDETERMINATE,230.4,113.8,84.3,0.791,0.224,0.0,120.6,25.5,42.2,0.659,337.0,338.0
W159-T19,159,822.35,825.083,2.733,145,INDETERMINATE,711.9,694.2,636.6,0.977,0.412,0.4,90.1,4.8,12.4,0.166,217.0,398.0
W159-T20,159,821.183,823.283,2.1,122,INDETERMINATE,78.0,202.9,38.1,0.611,0.278,0.0,104.0,-19.4,74.7,0.779,198.0,202.0
W159-T21,159,817.1,818.633,1.533,107,UNBLOCKED-NO-TEST,855.6,856.5,843.8,0.172,0.742,0.0,28.7,-0.9,16.5,nan,25.0,43.0
W159-T22,159,820.033,821.933,1.9,106,APPROACH-DIRECT,851.6,854.3,811.9,0.946,0.0,0.0,452.6,225.7,324.1,0.657,702.0,748.0
W159-T23,159,821.25,823.267,2.017,101,INDETERMINATE,17.5,132.9,17.5,0.805,0.195,0.0,239.1,0.9,125.5,0.644,350.0,345.0
W159-T24,159,832.883,834.967,2.083,99,INDETERMINATE,414.0,705.7,414.0,0.894,0.659,0.583,24.8,-24.4,5.4,0.097,73.0,447.0
W159-T25,159,813.35,814.717,1.367,97,UNBLOCKED-NO-TEST,852.9,847.6,839.1,0.0,0.0,0.0,530.0,-479.6,247.8,0.485,324.0,567.0
W159-T26,159,828.117,832.383,4.267,94,INDETERMINATE,107.1,471.5,48.0,0.738,0.075,0.0,245.0,-107.0,155.8,0.765,669.0,582.0
W159-T27,159,827.65,830.333,2.683,93,INDETERMINATE,135.7,116.6,79.5,0.709,0.063,0.0,298.2,-9.8,139.9,0.655,391.0,477.0
W159-T28,159,821.15,822.6,1.45,92,INDETERMINATE,229.5,41.3,41.3,0.603,0.59,0.15,26.7,-16.8,15.8,0.73,158.0,148.0
W159-T29,159,822.083,825.117,3.033,92,INDETERMINATE,166.4,271.3,94.5,0.641,0.115,0.0,236.6,0.9,110.8,0.536,369.0,639.0
W159-T30,159,823.267,824.733,1.467,91,INDETERMINATE,778.6,746.7,746.7,0.987,0.623,0.417,22.5,1.3,6.9,0.116,18.0,109.0
W159-T31,159,815.45,816.683,1.233,89,APPROACH-DIRECT,817.8,312.8,301.3,0.093,0.067,0.0,434.5,433.8,25.5,0.068,33.0,483.0
W159-T32,159,827.2,830.0,2.8,85,IN-CONTACT,490.9,117.6,31.6,0.662,0.113,0.0,249.8,42.6,107.1,0.828,469.0,387.0
W159-T33,159,832.65,833.85,1.2,83,APPROACH-DIRECT,671.7,645.0,645.0,0.899,0.246,0.217,283.1,128.2,132.6,0.608,175.0,220.0
W159-T34,159,827.35,830.383,3.033,82,IN-CONTACT,338.0,348.3,52.1,0.647,0.044,0.0,262.4,-86.5,76.5,0.352,298.0,583.0
W159-T35,159,821.183,822.65,1.467,81,INDETERMINATE,182.4,272.9,45.9,0.955,0.149,0.1,125.9,-12.3,109.7,0.866,360.0,131.0
W159-T36,159,821.5,823.233,1.733,80,INDETERMINATE,170.6,121.3,102.0,0.909,0.273,0.267,184.4,-9.8,63.9,0.763,278.0,212.0
W159-T37,159,824.083,825.283,1.2,79,INDETERMINATE,855.8,862.9,848.0,1.0,0.938,0.967,8.6,-3.9,4.3,nan,8.0,18.0
W159-T38,159,827.367,830.3,2.933,77,IN-CONTACT,454.4,234.5,11.3,0.714,0.016,0.0,373.2,76.0,150.6,0.686,616.0,615.0
W159-T39,159,818.917,819.917,1.0,75,INDETERMINATE,444.1,396.8,396.8,0.672,0.934,0.2,10.1,3.1,4.5,nan,18.0,21.0
W159-T40,159,833.983,836.333,2.35,75,INDETERMINATE,277.7,293.2,28.3,0.492,0.115,0.0,262.0,-54.1,184.5,0.801,473.0,327.0
W159-T41,159,821.25,822.467,1.217,71,INDETERMINATE,165.7,699.2,98.4,1.0,0.0,0.0,741.3,-490.9,391.1,0.622,524.0,633.0
W159-T42,159,816.5,817.433,0.933,69,APPROACH-DIRECT,846.8,747.9,738.3,0.236,0.109,0.0,220.7,111.7,143.3,0.644,126.0,129.0
W159-T43,159,832.933,833.967,1.033,69,APPROACH-DIRECT,679.6,588.2,588.2,0.945,0.145,0.0,276.7,218.9,42.8,0.213,100.0,246.0
W159-T44,159,821.25,822.35,1.1,68,INDETERMINATE,268.8,132.3,61.3,0.833,0.63,0.25,38.3,-2.9,25.7,0.498,58.0,61.0
W159-T45,159,825.933,826.817,0.883,68,INDETERMINATE,473.7,513.0,404.9,0.204,0.481,0.0,50.3,-12.2,44.1,nan,39.0,17.0
W159-T46,159,828.383,829.3,0.917,68,APPROACH-DIRECT,783.1,778.7,770.8,0.981,0.185,0.1,377.9,150.3,315.3,0.87,209.0,124.0
W159-T47,159,817.7,819.8,2.1,67,IN-CONTACT,42.2,80.2,0.3,0.208,0.17,0.0,154.4,-32.8,76.4,0.644,265.0,281.0
W159-T48,159,821.25,822.467,1.217,67,INDETERMINATE,219.9,205.9,32.9,0.755,0.585,0.3,26.1,14.3,16.4,0.527,80.0,142.0
W159-T49,159,833.633,836.25,2.617,67,APPROACH-DIRECT,527.2,298.8,180.2,0.83,0.038,0.0,388.7,207.6,167.4,0.478,384.0,772.0
W159-T50,159,818.35,820.133,1.783,66,IN-CONTACT,119.7,95.0,95.0,0.269,0.077,0.0,271.4,-3.7,253.5,0.893,441.0,212.0
W159-T51,159,837.55,838.417,0.867,64,UNBLOCKED-NO-TEST,848.2,856.5,840.3,0.06,0.18,0.0,267.1,-200.1,177.2,0.603,168.0,225.0
W159-T52,159,827.467,829.733,2.267,63,IN-CONTACT,501.9,56.2,31.6,0.673,0.061,0.0,383.6,245.9,90.6,0.408,350.0,695.0
W159-T53,159,821.45,823.05,1.6,61,IN-CONTACT,106.3,85.5,70.1,0.766,0.021,0.0,300.2,126.2,225.1,0.659,352.0,402.0
W160-T01,160,841.867,858.4,16.533,885,INDETERMINATE,1097.8,491.7,21.3,0.529,0.428,0.317,74.1,4.1,27.2,0.388,1250.0,2133.0
W160-T02,160,843.9,853.95,10.05,598,INDETERMINATE,741.4,627.9,244.9,0.604,0.524,0.417,45.7,1.1,30.9,0.575,503.0,642.0
W160-T03,160,850.467,859.867,9.4,505,INDETERMINATE,1058.9,743.4,199.6,0.572,0.509,0.417,48.9,4.3,21.9,0.661,396.0,491.0
W160-T04,160,840.5,846.35,5.85,366,INDETERMINATE,760.3,710.3,404.8,0.5,0.747,1.033,19.3,-0.6,11.8,0.924,272.0,187.0
W160-T05,160,849.983,860.15,10.167,284,INDETERMINATE,462.2,886.4,27.7,0.626,0.03,0.0,286.3,-16.1,119.5,0.543,1794.0,2497.0
W160-T06,160,846.283,851.8,5.517,255,INDETERMINATE,302.7,175.0,61.4,0.734,0.253,0.35,185.9,21.5,44.1,0.561,825.0,787.0
W160-T07,160,843.9,848.7,4.8,212,INDETERMINATE,386.3,307.1,20.9,0.207,0.424,0.0,64.8,7.1,37.5,0.738,450.0,593.0
W160-T08,160,847.483,851.1,3.617,191,INDETERMINATE,642.7,438.1,438.1,0.74,0.367,0.367,157.8,-6.1,37.3,0.794,622.0,597.0
W160-T09,160,848.417,851.45,3.033,153,INDETERMINATE,498.5,667.3,495.8,0.748,0.295,0.25,78.1,-56.3,49.0,0.632,615.0,463.0
W160-T10,160,857.383,860.533,3.15,143,INDETERMINATE,68.3,824.9,68.3,0.682,0.403,0.283,95.6,9.8,22.6,0.655,406.0,627.0
W160-T11,160,861.867,863.883,2.017,136,INDETERMINATE,869.2,166.3,166.3,0.352,0.459,0.1,52.5,-3.7,33.6,0.013,66.0,137.0
W160-T12,160,842.15,843.967,1.817,110,INDETERMINATE,811.9,790.5,755.2,0.823,0.531,0.367,44.9,3.5,13.5,0.22,49.0,183.0
W160-T13,160,862.25,863.883,1.633,110,INDETERMINATE,803.3,432.6,331.6,0.865,0.604,0.15,45.6,-33.4,18.0,0.645,47.0,75.0
W160-T14,160,862.1,863.75,1.65,108,INDETERMINATE,745.2,153.7,153.7,0.957,0.798,0.883,25.3,-7.4,9.4,0.078,34.0,138.0
W160-T15,160,843.933,846.0,2.067,105,UNBLOCKED-NO-TEST,95.4,561.8,95.4,0.176,0.176,0.0,129.9,-66.9,79.5,0.673,224.0,260.0
W160-T16,160,852.133,855.983,3.85,105,INDETERMINATE,326.3,515.8,89.4,0.615,0.033,0.0,261.3,-35.0,176.3,0.887,680.0,603.0
W160-T17,160,862.117,863.767,1.65,105,INDETERMINATE,576.3,184.7,119.4,0.791,0.648,0.383,27.1,-8.1,9.5,0.342,77.0,162.0
W160-T18,160,862.167,863.7,1.533,103,INDETERMINATE,771.4,404.6,347.6,0.944,0.539,0.35,47.5,-38.8,20.8,nan,35.0,66.0
W160-T19,160,839.467,840.817,1.35,96,APPROACH-DIRECT,855.5,853.9,841.0,0.11,0.0,0.0,552.8,279.5,420.0,0.784,469.0,419.0
W160-T20,160,850.117,852.5,2.383,94,INDETERMINATE,464.8,411.3,316.9,0.8,0.062,0.0,280.0,1.6,161.1,0.789,410.0,314.0
W160-T21,160,852.483,856.85,4.367,93,APPROACH-DIRECT,354.1,696.8,15.5,0.646,0.076,0.0,156.2,89.4,75.2,0.482,512.0,712.0
W160-T22,160,844.6,846.167,1.567,90,UNBLOCKED-NO-TEST,1069.2,916.6,851.5,0.171,0.342,0.0,82.3,46.9,30.2,0.66,165.0,168.0
W160-T23,160,857.25,859.983,2.733,89,INDETERMINATE,77.1,680.8,48.7,0.667,0.067,0.0,195.7,-20.0,101.3,0.625,315.0,484.0
W160-T24,160,862.25,863.483,1.233,85,INDETERMINATE,878.0,444.4,444.1,1.0,0.282,0.283,66.8,-63.3,14.8,nan,27.0,71.0
W160-T25,160,862.233,863.817,1.583,82,INDETERMINATE,559.6,353.8,199.6,0.735,0.412,0.3,128.9,-42.4,54.6,0.627,191.0,240.0
W160-T26,160,839.467,841.583,2.117,80,INDETERMINATE,374.6,161.2,130.3,0.545,0.167,0.0,115.8,8.6,28.6,0.268,73.0,250.0
W160-T27,160,861.883,863.683,1.8,79,UNBLOCKED-NO-TEST,736.1,19.5,19.5,0.108,0.385,0.0,146.2,7.7,21.8,0.226,216.0,276.0
W160-T28,160,842.917,843.967,1.05,78,INDETERMINATE,661.3,663.2,653.0,0.391,0.734,0.0,28.1,3.2,13.6,nan,19.0,26.0
W160-T29,160,848.933,851.2,2.267,78,INDETERMINATE,204.8,73.3,55.2,0.406,0.0,0.0,272.8,25.7,171.1,0.736,461.0,469.0
W160-T30,160,849.217,850.233,1.017,76,INDETERMINATE,860.4,856.0,830.8,0.613,0.0,0.0,344.7,-152.0,278.9,0.838,265.0,208.0
W160-T31,160,840.967,843.433,2.467,69,IN-CONTACT,189.6,143.3,64.2,0.273,0.018,0.0,243.6,-5.1,179.1,0.823,403.0,376.0
W160-T32,160,849.217,851.05,1.833,64,IN-CONTACT,41.0,251.6,13.3,0.2,0.02,0.0,407.8,15.9,158.3,0.583,370.0,508.0
W160-T33,160,846.633,848.833,2.2,63,IN-CONTACT,187.7,347.7,71.9,0.571,0.102,0.0,183.4,-26.3,144.9,0.885,341.0,287.0
W160-T34,160,850.483,852.583,2.1,62,INDETERMINATE,235.0,280.5,21.0,0.438,0.042,0.0,248.8,-21.2,172.2,0.953,334.0,311.0
W160-T35,160,850.333,852.3,1.967,61,INDETERMINATE,401.4,210.4,52.6,0.468,0.043,0.0,451.6,-159.3,308.8,0.717,533.0,500.0
W160-T36,160,855.717,857.15,1.433,61,INDETERMINATE,166.5,238.7,166.5,0.426,0.043,0.0,333.8,-10.7,190.1,0.907,432.0,192.0
W160-T37,160,857.217,859.133,1.917,60,INDETERMINATE,88.3,229.4,15.7,0.413,0.043,0.0,317.8,10.9,224.3,0.868,447.0,264.0
